Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 918.2, 920.4, 903.8, 470351.0, 906.0, 12.2, 1.35, 8813.7
'ABF', 2595.0, 2625.0, 2584.0, 475598.0, 2607.0, -12.0, -0.46, 20638.95
'ADM', 1848.0, 1853.0, 1834.0, 301372.0, 1845.0, 3.0, 0.16, 5254.24
'AAL', 1678.0, 1710.6, 1664.6, 2234799.0, 1687.6, -9.6, -0.57, 23704.11
'ANTO', 851.6, 857.8, 839.8, 1250273.0, 842.6, 9.0, 1.07, 8306.9
'AHT', 2036.0, 2049.0, 2010.0, 923020.0, 1998.5, 37.5, 1.88, 9977.03
'AZN', 4767.5, 4781.0, 4715.0, 1246859.0, 4736.0, 31.5, 0.67, 59940.74
'AV.', 497.2, 500.8, 495.1, 4292694.0, 497.5, -0.3, -0.06, 19955.75
'BA.', 573.8, 578.6, 570.4, 1986205.0, 576.0, -2.2, -0.38, 18336.61
'BARC', 204.85, 207.2, 204.1, 50271468.0, 205.3, -0.45, -0.22, 34962.98
'BDEV', 537.4, 546.4, 530.8, 2184902.0, 532.4, 5.0, 0.94, 5361.14
'BKG', 3790.0, 3816.0, 3757.0, 200308.0, 3765.0, 25.0, 0.66, 5098.39
'BLT', 1424.8, 1432.8, 1404.6, 4699450.0, 1412.6, 12.2, 0.86, 29823.99
'BP.', 466.3, 468.75, 463.9, 22364109.0, 464.1, 2.2, 0.47, 91324.93
'BATS', 4196.5, 4222.5, 4162.5, 1697851.0, 4220.0, -23.5, -0.56, 96969.16
'BLND', 633.2, 634.6, 626.8, 1014385.0, 627.6, 5.6, 0.89, 6311.47
'BT.A', 237.75, 238.9, 235.7, 6422871.0, 236.25, 1.5, 0.63, 23531.66
'BNZL', 1958.0, 1961.5, 1948.0, 413151.0, 1950.0, 8.0, 0.41, 6545.61
'BRBY', 1644.5, 1658.0, 1633.5, 844226.0, 1634.5, 10.0, 0.61, 6980.67
'CCL', 4650.0, 4653.0, 4603.0, 327063.0, 4621.0, 29.0, 0.63, 9860.68
'CNA', 141.45, 142.85, 140.5, 25545264.0, 141.4, 0.05, 0.04, 7907.62
'CCH', 2379.0, 2379.0, 2357.0, 949498.0, 2364.0, 15.0, 0.63, 8607.93
'CPG', 1524.5, 1530.5, 1519.5, 965740.0, 1524.0, 0.5, 0.03, 24096.33
'CRH', 2448.0, 2471.0, 2394.0, 1486976.0, 2399.0, 49.0, 2.04, 20050.98
'CRDA', 4450.0, 4505.0, 4437.0, 186842.0, 4456.0, -6.0, -0.13, 5854.86
'DCC', 6575.0, 6605.0, 6505.0, 126031.0, 6515.0, 60.0, 0.92, 5786.39
'DGE', 2389.0, 2392.0, 2379.5, 1708104.0, 2381.5, 7.5, 0.31, 59949.19
'DLG', 374.3, 375.3, 372.0, 2892577.0, 373.8, 0.5, 0.13, 5139.75
'EZJ', 1575.5, 1605.5, 1567.0, 861938.0, 1577.0, -1.5, -0.1, 6263.97
'EVR', 436.5, 448.6, 434.7, 1229043.0, 444.3, -7.8, -1.76, 6362.61
'EXPN', 1519.5, 1528.0, 1515.5, 516594.0, 1520.5, -1.0, -0.07, 14154.38
'FERG', 5126.0, 5152.0, 5086.0, 141208.0, 5098.0, 28.0, 0.55, 12894.84
'FRES', 1200.5, 1206.5, 1192.0, 409460.0, 1197.5, 3.0, 0.25, 8824.3
'GFS', 254.4, 256.8, 253.0, 1442854.0, 254.3, 0.1, 0.04, 3945.7
'GKN', 420.9, 427.5, 416.9, 32047025.0, 420.0, 0.9, 0.21, 7212.75
'GSK', 1302.8, 1304.2, 1289.8, 2096303.0, 1290.0, 12.8, 0.99, 63434.88
'GLEN', 361.4, 368.9, 359.5, 22325336.0, 364.5, -3.1, -0.85, 52468.83
'HLMA', 1173.0, 1175.0, 1167.0, 513997.0, 1166.0, 7.0, 0.6, 4421.28
'HMSO', 450.0, 450.9, 444.4, 2690939.0, 447.9, 2.1, 0.47, 3552.69
'HL.', 1680.0, 1695.5, 1654.0, 522891.0, 1657.0, 23.0, 1.39, 7859.46
'HSBA', 699.9, 706.1, 698.7, 10995894.0, 705.0, -5.1, -0.72, 141347.75
'IMB', 2579.0, 2599.5, 2570.5, 642380.0, 2584.0, -5.0, -0.19, 24773.09
'INF', 702.2, 704.0, 696.2, 2203282.0, 697.6, 4.6, 0.66, 5748.26
'IHG', 4486.0, 4504.0, 4441.0, 257848.0, 4454.0, 32.0, 0.72, 8462.16
'ITRK', 4854.0, 4895.0, 4830.0, 199688.0, 4873.0, -19.0, -0.39, 7864.56
'IAG', 608.6, 619.4, 606.0, 4856961.0, 615.0, -6.4, -1.04, 12620.44
'ITV', 152.75, 155.2, 151.65, 12148450.0, 153.9, -1.15, -0.75, 6195.1
'JMAT', 3052.0, 3080.0, 3027.0, 150865.0, 3030.0, 22.0, 0.73, 5864.06
'JE.', 849.4, 858.0, 843.2, 1898044.0, 849.0, 0.4, 0.05, 5765.06
'KGF', 345.7, 350.5, 345.4, 6409521.0, 347.8, -2.1, -0.6, 7537.43
'LAND', 915.6, 918.5, 911.4, 688776.0, 913.0, 2.6, 0.28, 6768.34
'LGEN', 255.0, 255.4, 252.6, 7110642.0, 253.4, 1.6, 0.63, 15090.63
'LLOY', 66.71, 67.3, 66.6, 71060294.0, 67.0, -0.29, -0.43, 47878.18
'LSE', 3894.0, 3904.0, 3837.0, 289575.0, 3837.0, 57.0, 1.49, 13389.88
'MKS', 286.8, 289.5, 286.6, 2321625.0, 286.7, 0.1, 0.03, 4658.09
'MDC', 567.0, 578.6, 566.2, 1044774.0, 574.4, -7.4, -1.29, 4234.73
'MCRO', 1992.0, 2002.0, 1981.5, 501977.0, 1988.0, 4.0, 0.2, 8652.52
'MNDI', 1912.0, 1971.5, 1904.0, 1257463.0, 1911.0, 1.0, 0.05, 7017.97
'MRW', 225.9, 227.3, 224.4, 3032684.0, 222.7, 3.2, 1.44, 5201.42
'NG.', 743.4, 743.7, 737.6, 3628755.0, 739.2, 4.2, 0.57, 25067.81
'NXT', 4710.0, 4757.0, 4690.0, 182458.0, 4680.0, 30.0, 0.64, 6882.25
'NMC', 3340.0, 3396.0, 3324.0, 226012.0, 3332.0, 8.0, 0.24, 6806.8
'OML', 248.2, 249.2, 245.5, 5422458.0, 246.0, 2.2, 0.89, 12127.73
'PPB', 8310.0, 8340.0, 8205.0, 131852.0, 8295.0, 15.0, 0.18, 6984.38
'PSON', 724.6, 729.6, 718.2, 978529.0, 718.8, 5.8, 0.81, 5834.97
'PSN', 2644.0, 2672.0, 2583.0, 805584.0, 2584.0, 60.0, 2.32, 7974.02
'PRU', 1785.0, 1798.5, 1776.5, 1018288.0, 1790.5, -5.5, -0.31, 46297.08
'RRS', 5910.0, 5976.0, 5868.0, 196859.0, 5940.0, -30.0, -0.51, 5582.68
'RDSA', 2250.0, 2272.0, 2240.5, 2024925.0, 2249.5, 0.5, 0.02, 102226.61
'RDSB', 2273.5, 2301.5, 2265.5, 1800927.0, 2279.5, -6.0, -0.26, 85378.37
'RB.', 5651.0, 5700.0, 5621.0, 651009.0, 5690.0, -39.0, -0.69, 39865.56
'REL', 1474.0, 1478.5, 1460.5, 2308612.0, 1467.5, 6.5, 0.44, 15749.9
'RTO', 262.5, 276.5, 261.6, 3195308.0, 272.5, -10.0, -3.67, 5006.73
'RIO', 3654.0, 3708.0, 3632.0, 2460532.0, 3638.5, 15.5, 0.43, 49660.55
'RR.', 814.8, 821.6, 800.2, 4355518.0, 817.4, -2.6, -0.32, 15041.28
'RBS', 258.9, 262.4, 257.0, 8903080.0, 257.6, 1.3, 0.5, 30592.21
'RSA', 613.0, 616.4, 611.6, 2242784.0, 613.4, -0.4, -0.07, 6258.4
'SGE', 669.0, 673.2, 661.0, 1255460.0, 662.0, 7.0, 1.06, 7155.36
'SBRY', 253.0, 256.4, 252.1, 2553307.0, 253.0, 0.0, 0.0, 5537.92
'SDR', 3368.0, 3378.0, 3343.0, 117126.0, 3347.0, 21.0, 0.63, 7564.06
'SMT', 455.8, 459.0, 448.4, 2036562.0, 451.2, 4.6, 1.02, 6298.84
'SGRO', 582.2, 582.6, 574.0, 756970.0, 572.2, 10.0, 1.75, 5712.26
'SVT', 1736.0, 1738.0, 1715.5, 375084.0, 1722.0, 14.0, 0.81, 4062.6
'SHP', 3207.0, 3216.0, 3159.0, 915119.0, 3205.5, 1.5, 0.05, 29077.75
'SKY', 1367.5, 1375.0, 1364.5, 1493634.0, 1373.5, -6.0, -0.44, 23610.7
'SN.', 1278.0, 1279.5, 1269.5, 2297273.0, 1264.0, 14.0, 1.11, 11061.48
'SMDS', 476.2, 477.4, 459.4, 2337370.0, 459.8, 16.4, 3.57, 4910.14
'SMIN', 1561.5, 1575.5, 1552.0, 256711.0, 1552.5, 9.0, 0.58, 6139.5
'SKG', 2530.0, 2542.0, 2450.0, 653393.0, 2430.0, 100.0, 4.12, 5754.42
'SSE', 1208.0, 1217.5, 1205.5, 1149370.0, 1214.0, -6.0, -0.49, 12385.67
'STJ', 1119.5, 1122.5, 1103.5, 614369.0, 1108.5, 11.0, 0.99, 5857.27
'STAN', 773.4, 783.2, 771.3, 3570867.0, 780.0, -6.6, -0.85, 25664.57
