Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 914.2, 918.6, 903.8, 283124.0, 906.0, 8.2, 0.91, 8813.7
'ABF', 2596.0, 2625.0, 2594.0, 213145.0, 2607.0, -11.0, -0.42, 20638.95
'ADM', 1840.5, 1853.0, 1835.5, 139226.0, 1845.0, -4.5, -0.24, 5254.24
'AAL', 1699.0, 1710.6, 1664.6, 1650604.0, 1687.6, 11.4, 0.68, 23704.11
'ANTO', 854.0, 857.8, 839.8, 831893.0, 842.6, 11.4, 1.35, 8306.9
'AHT', 2032.0, 2049.0, 2010.0, 546223.0, 1998.5, 33.5, 1.68, 9977.03
'AZN', 4745.5, 4759.5, 4715.0, 565371.0, 4736.0, 9.5, 0.2, 59940.74
'AV.', 499.6, 500.8, 495.1, 2680074.0, 497.5, 2.1, 0.42, 19955.75
'BA.', 576.0, 578.6, 570.4, 1101728.0, 576.0, 0.0, 0.0, 18336.61
'BARC', 205.95, 207.2, 204.35, 12064884.0, 205.3, 0.65, 0.32, 34962.98
'BDEV', 541.6, 546.4, 530.8, 1558765.0, 532.4, 9.2, 1.73, 5361.14
'BKG', 3800.0, 3816.0, 3757.0, 143883.0, 3765.0, 35.0, 0.93, 5098.39
'BLT', 1430.0, 1432.8, 1404.6, 3064102.0, 1412.6, 17.4, 1.23, 29823.99
'BP.', 465.7, 468.75, 464.7, 6982758.0, 464.1, 1.6, 0.34, 91324.93
'BATS', 4195.5, 4222.5, 4175.0, 1153317.0, 4220.0, -24.5, -0.58, 96969.16
'BLND', 633.0, 634.6, 626.8, 766696.0, 627.6, 5.4, 0.86, 6311.47
'BT.A', 237.1, 238.9, 235.7, 3986619.0, 236.25, 0.85, 0.36, 23531.66
'BNZL', 1955.0, 1961.5, 1948.0, 242459.0, 1950.0, 5.0, 0.26, 6545.61
'BRBY', 1637.5, 1658.0, 1637.5, 510080.0, 1634.5, 3.0, 0.18, 6980.67
'CCL', 4639.0, 4653.0, 4603.0, 167604.0, 4621.0, 18.0, 0.39, 9860.68
'CNA', 142.0, 142.85, 140.5, 10112283.0, 141.4, 0.6, 0.42, 7907.62
'CCH', 2373.0, 2379.0, 2357.0, 125685.0, 2364.0, 9.0, 0.38, 8607.93
'CPG', 1522.5, 1530.5, 1520.5, 736483.0, 1524.0, -1.5, -0.1, 24096.33
'CRH', 2455.0, 2471.0, 2394.0, 578683.0, 2399.0, 56.0, 2.33, 20050.98
'CRDA', 4464.0, 4505.0, 4437.0, 96637.0, 4456.0, 8.0, 0.18, 5854.86
'DCC', 6560.0, 6605.0, 6505.0, 62236.0, 6515.0, 45.0, 0.69, 5786.39
'DGE', 2388.5, 2392.0, 2379.5, 804687.0, 2381.5, 7.0, 0.29, 59949.19
'DLG', 374.0, 374.6, 372.0, 970963.0, 373.8, 0.2, 0.05, 5139.75
'EZJ', 1573.5, 1605.5, 1571.0, 547673.0, 1577.0, -3.5, -0.22, 6263.97
'EVR', 436.2, 448.6, 436.2, 581946.0, 444.3, -8.1, -1.82, 6362.61
'EXPN', 1522.5, 1528.0, 1518.5, 260152.0, 1520.5, 2.0, 0.13, 14154.38
'FERG', 5128.0, 5152.0, 5086.0, 70184.0, 5098.0, 30.0, 0.59, 12894.84
'FRES', 1201.5, 1206.5, 1192.0, 276609.0, 1197.5, 4.0, 0.33, 8824.3
'GFS', 255.2, 256.8, 253.2, 758846.0, 254.3, 0.9, 0.35, 3945.7
'GKN', 422.1, 427.5, 416.9, 2283849.0, 420.0, 2.1, 0.5, 7212.75
'GSK', 1294.6, 1296.6, 1289.8, 1140226.0, 1290.0, 4.6, 0.36, 63434.88
'GLEN', 363.65, 368.9, 359.5, 11905297.0, 364.5, -0.85, -0.23, 52468.83
'HLMA', 1169.0, 1175.0, 1167.0, 374130.0, 1166.0, 3.0, 0.26, 4421.28
'HMSO', 447.5, 448.4, 444.4, 1408251.0, 447.9, -0.4, -0.09, 3552.69
'HL.', 1685.0, 1695.5, 1654.0, 317478.0, 1657.0, 28.0, 1.69, 7859.46
'HSBA', 701.8, 706.1, 701.0, 6970233.0, 705.0, -3.2, -0.45, 141347.75
'IMB', 2581.0, 2599.5, 2574.5, 439278.0, 2584.0, -3.0, -0.12, 24773.09
'INF', 699.0, 702.0, 696.2, 334089.0, 697.6, 1.4, 0.2, 5748.26
'IHG', 4470.0, 4504.0, 4441.0, 155429.0, 4454.0, 16.0, 0.36, 8462.16
'ITRK', 4872.0, 4894.0, 4853.0, 143486.0, 4873.0, -1.0, -0.02, 7864.56
'IAG', 614.2, 619.4, 612.8, 2008828.0, 615.0, -0.8, -0.13, 12620.44
'ITV', 152.8, 155.2, 152.25, 4888491.0, 153.9, -1.1, -0.71, 6195.1
'JMAT', 3044.0, 3080.0, 3027.0, 99070.0, 3030.0, 14.0, 0.46, 5864.06
'JE.', 854.4, 858.0, 843.2, 1245400.0, 849.0, 5.4, 0.64, 5765.06
'KGF', 348.9, 350.5, 347.5, 1173383.0, 347.8, 1.1, 0.32, 7537.43
'LAND', 914.6, 918.5, 911.4, 470002.0, 913.0, 1.6, 0.18, 6768.34
'LGEN', 254.2, 255.4, 252.6, 4373198.0, 253.4, 0.8, 0.32, 15090.63
'LLOY', 66.92, 67.3, 66.6, 45928265.0, 67.0, -0.08, -0.12, 47878.18
'LSE', 3858.0, 3901.0, 3837.0, 159503.0, 3837.0, 21.0, 0.55, 13389.88
'MKS', 287.4, 289.5, 287.0, 1681541.0, 286.7, 0.7, 0.24, 4658.09
'MDC', 569.2, 578.6, 567.6, 594734.0, 574.4, -5.2, -0.91, 4234.73
'MCRO', 1987.0, 2002.0, 1981.5, 311004.0, 1988.0, -1.0, -0.05, 8652.52
'MNDI', 1936.5, 1971.5, 1912.0, 725264.0, 1911.0, 25.5, 1.33, 7017.97
'MRW', 225.2, 227.3, 224.4, 2032269.0, 222.7, 2.5, 1.12, 5201.42
'NG.', 741.0, 742.6, 737.6, 2024579.0, 739.2, 1.8, 0.24, 25067.81
'NXT', 4721.0, 4757.0, 4690.0, 134676.0, 4680.0, 41.0, 0.88, 6882.25
'NMC', 3342.0, 3396.0, 3324.0, 176045.0, 3332.0, 10.0, 0.3, 6806.8
'OML', 247.5, 248.4, 245.5, 2487363.0, 246.0, 1.5, 0.61, 12127.73
'PPB', 8305.0, 8340.0, 8205.0, 99164.0, 8295.0, 10.0, 0.12, 6984.38
'PSON', 723.8, 725.4, 718.2, 566357.0, 718.8, 5.0, 0.7, 5834.97
'PSN', 2636.0, 2672.0, 2583.0, 571560.0, 2584.0, 52.0, 2.01, 7974.02
'PRU', 1788.5, 1798.5, 1776.5, 623018.0, 1790.5, -2.0, -0.11, 46297.08
'RRS', 5910.0, 5976.0, 5896.0, 123641.0, 5940.0, -30.0, -0.51, 5582.68
'RDSA', 2256.5, 2272.0, 2243.5, 1411512.0, 2249.5, 7.0, 0.31, 102226.61
'RDSB', 2279.0, 2301.5, 2274.5, 1219233.0, 2279.5, -0.5, -0.02, 85378.37
'RB.', 5649.0, 5700.0, 5621.0, 443870.0, 5690.0, -41.0, -0.72, 39865.56
'REL', 1474.0, 1478.5, 1460.5, 1180091.0, 1467.5, 6.5, 0.44, 15749.9
'RTO', 267.2, 276.5, 267.2, 1942159.0, 272.5, -5.3, -1.94, 5006.73
'RIO', 3681.5, 3708.0, 3632.0, 1742799.0, 3638.5, 43.0, 1.18, 49660.55
'RR.', 810.2, 821.6, 800.2, 2196090.0, 817.4, -7.2, -0.88, 15041.28
'RBS', 259.8, 262.4, 257.0, 6395019.0, 257.6, 2.2, 0.85, 30592.21
'RSA', 613.0, 616.4, 612.4, 735956.0, 613.4, -0.4, -0.07, 6258.4
'SGE', 668.0, 673.2, 661.0, 719590.0, 662.0, 6.0, 0.91, 7155.36
'SBRY', 253.9, 256.4, 253.4, 1068336.0, 253.0, 0.9, 0.36, 5537.92
'SDR', 3362.0, 3378.0, 3343.0, 82091.0, 3347.0, 15.0, 0.45, 7564.06
'SMT', 458.6, 459.0, 448.4, 1461454.0, 451.2, 7.4, 1.64, 6298.84
'SGRO', 579.0, 582.0, 574.0, 533537.0, 572.2, 6.8, 1.19, 5712.26
'SVT', 1732.5, 1738.0, 1715.5, 263411.0, 1722.0, 10.5, 0.61, 4062.6
'SHP', 3184.5, 3215.0, 3159.0, 636966.0, 3205.5, -21.0, -0.66, 29077.75
'SKY', 1371.5, 1375.0, 1369.0, 1108091.0, 1373.5, -2.0, -0.15, 23610.7
