Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 943.0, 945.8, 934.6, 343165.0, 948.0, -5.0, -0.53
'ABF', 2637.0, 2667.0, 2637.0, 183783.0, 2661.0, -24.0, -0.9
'ADM', 1862.5, 2054.0, 1861.0, 1078488.0, 1931.0, -68.5, -3.55
'AAL', 1797.0, 1824.8, 1794.2, 1614097.0, 1842.0, -45.0, -2.44
'ANTO', 885.6, 900.2, 883.4, 856737.0, 905.8, -20.2, -2.23
'AHT', 2097.0, 2098.0, 2078.0, 445329.0, 2108.0, -11.0, -0.52
'AZN', 4806.5, 4844.0, 4788.0, 470415.0, 4795.0, 11.5, 0.24
'AV.', 505.2, 507.2, 502.0, 2020401.0, 506.0, -0.8, -0.16
'BA.', 577.8, 579.8, 567.6, 1116629.0, 572.6, 5.2, 0.91
'BARC', 214.35, 214.8, 210.9, 19752209.0, 212.0, 2.35, 1.11
'BDEV', 546.4, 547.8, 535.8, 1957869.0, 548.0, -1.6, -0.29
'BKG', 3887.0, 3903.0, 3828.0, 139902.0, 3892.0, -5.0, -0.13
'BLT', 1490.8, 1512.2, 1481.6, 2789866.0, 1525.0, -34.2, -2.24
'BP.', 478.8, 480.0, 475.1, 7620247.0, 478.2, 0.6, 0.13
'BATS', 4363.0, 4402.5, 4337.5, 1161494.0, 4397.5, -34.5, -0.78
'BLND', 630.8, 636.0, 626.8, 871210.0, 637.2, -6.4, -1.0
'BT.A', 243.25, 244.6, 240.8, 5407611.0, 243.25, 0.0, 0.0
'BNZL', 1960.5, 1970.5, 1958.5, 324372.0, 1969.5, -9.0, -0.46
'BRBY', 1539.0, 1543.0, 1527.0, 215714.0, 1538.0, 1.0, 0.07
'CCL', 4801.0, 4809.0, 4772.0, 158573.0, 4821.0, -20.0, -0.41
'CNA', 141.35, 142.3, 140.55, 4297015.0, 141.8, -0.45, -0.32
'CCH', 2406.0, 2445.0, 2397.0, 202977.0, 2442.0, -36.0, -1.47
'CPG', 1550.5, 1552.0, 1542.5, 461815.0, 1550.0, 0.5, 0.03
'CRH', 2421.0, 2439.0, 2415.0, 412842.0, 2436.0, -15.0, -0.62
'CRDA', 4578.0, 4580.0, 4527.0, 73010.0, 4550.0, 28.0, 0.62
'DCC', 6685.0, 6730.0, 6675.0, 30591.0, 6735.0, -50.0, -0.74
'DGE', 2476.5, 2487.5, 2468.5, 2127220.0, 2479.0, -2.5, -0.1
'DLG', 387.3, 391.2, 385.9, 3967723.0, 387.9, -0.6, -0.15
'EZJ', 1693.0, 1695.0, 1663.5, 380593.0, 1679.0, 14.0, 0.83
'EVR', 430.3, 436.3, 425.8, 852428.0, 438.0, -7.7, -1.76
'EXPN', 1554.5, 1555.5, 1546.5, 248113.0, 1557.5, -3.0, -0.19
'FERG', 5140.0, 5216.0, 5138.0, 180108.0, 5186.0, -46.0, -0.89
'FRES', 1234.0, 1277.5, 1232.5, 345946.0, 1273.0, -39.0, -3.06
'GFS', 263.4, 263.8, 260.7, 555825.0, 265.6, -2.2, -0.83
'GKN', 434.1, 434.2, 428.0, 2669273.0, 430.7, 3.4, 0.79
'GSK', 1307.8, 1309.0, 1294.4, 1912975.0, 1303.8, 4.0, 0.31
'GLEN', 387.6, 393.5, 386.45, 12170938.0, 396.5, -8.9, -2.24
'HLMA', 1210.0, 1214.0, 1208.0, 117363.0, 1213.0, -3.0, -0.25
'HMSO', 450.4, 454.7, 448.0, 1857453.0, 455.7, -5.3, -1.16
'HL.', 1725.0, 1727.0, 1712.0, 125754.0, 1725.5, -0.5, -0.03
'HSBA', 720.8, 723.6, 714.3, 6361733.0, 719.2, 1.6, 0.22
'IMB', 2617.0, 2639.0, 2590.0, 758226.0, 2606.0, 11.0, 0.42
'INF', 692.2, 699.2, 675.4, 1204175.0, 686.0, 6.2, 0.9
'IHG', 4712.0, 4712.0, 4663.0, 97858.0, 4699.0, 13.0, 0.28
'ITRK', 4921.0, 4938.0, 4889.0, 69289.0, 4925.0, -4.0, -0.08
'IAG', 609.0, 609.2, 598.8, 1897196.0, 603.4, 5.6, 0.93
'ITV', 162.1, 169.75, 157.05, 27135697.0, 173.2, -11.1, -6.41
'JMAT', 3135.0, 3155.0, 3125.0, 152136.0, 3155.0, -20.0, -0.63
'JE.', 876.0, 879.6, 871.0, 501675.0, 875.0, 1.0, 0.11
'KGF', 358.4, 358.7, 350.0, 5582190.0, 362.5, -4.1, -1.13
'LAND', 925.5, 929.2, 915.7, 703396.0, 927.5, -2.0, -0.22
'LGEN', 264.8, 265.3, 262.6, 2544659.0, 263.4, 1.4, 0.53
'LLOY', 69.13, 69.18, 68.69, 29488042.0, 69.03, 0.1, 0.14
'LSE', 4062.0, 4067.0, 4009.0, 58123.0, 4054.0, 8.0, 0.2
'MKS', 298.7, 298.7, 295.9, 568733.0, 300.0, -1.3, -0.43
'MDC', 597.6, 604.6, 594.0, 697211.0, 607.2, -9.6, -1.58
'MCRO', 2060.0, 2074.0, 2052.0, 286328.0, 2060.0, 0.0, 0.0
'MNDI', 1893.0, 1896.0, 1872.0, 402655.0, 1893.5, -0.5, -0.03
'MRW', 225.9, 226.0, 222.2, 1527886.0, 224.9, 1.0, 0.44
'NG.', 747.4, 754.6, 745.7, 2345169.0, 756.5, -9.1, -1.2
'NXT', 4885.0, 4909.0, 4860.0, 71270.0, 4912.0, -27.0, -0.55
'NMC', 3472.0, 3506.0, 3470.0, 64015.0, 3516.0, -44.0, -1.25
'OML', 257.2, 258.0, 255.4, 2719488.0, 257.8, -0.6, -0.23
'PPB', 8535.0, 8575.0, 8500.0, 110690.0, 8585.0, -50.0, -0.58
'PSON', 728.4, 728.8, 720.0, 917196.0, 727.0, 1.4, 0.19
'PSN', 2618.0, 2630.0, 2555.0, 1044231.0, 2604.0, 14.0, 0.54
'PRU', 1845.5, 1849.5, 1828.5, 899323.0, 1841.0, 4.5, 0.24
'RRS', 5838.0, 5942.0, 5816.0, 278042.0, 5948.0, -110.0, -1.85
'RDSA', 2305.5, 2312.5, 2287.5, 1201887.0, 2302.5, 3.0, 0.13
'RDSB', 2324.0, 2331.5, 2299.0, 1032736.0, 2316.5, 7.5, 0.32
'RB.', 5789.0, 5883.0, 5772.0, 435298.0, 5841.0, -52.0, -0.89
'REL', 1489.0, 1496.5, 1480.0, 846649.0, 1491.0, -2.0, -0.13
'RTO', 290.7, 291.6, 288.2, 1858584.0, 292.1, -1.4, -0.48
'RIO', 3938.5, 4017.5, 3916.5, 1783672.0, 4047.5, -109.0, -2.69
'RR.', 849.2, 852.4, 846.0, 462259.0, 852.4, -3.2, -0.38
'RBS', 268.7, 270.3, 267.9, 4201650.0, 270.4, -1.7, -0.63
'RSA', 632.0, 634.6, 630.6, 723053.0, 633.6, -1.6, -0.25
'SGE', 694.4, 696.0, 687.6, 555122.0, 692.2, 2.2, 0.32
'SBRY', 260.3, 260.4, 255.3, 1688423.0, 257.7, 2.6, 1.01
'SDR', 3452.0, 3484.0, 3451.0, 44210.0, 3471.0, -19.0, -0.55
'SMT', 465.8, 467.4, 462.0, 553887.0, 467.0, -1.2, -0.26
'SGRO', 563.8, 574.4, 563.8, 662567.0, 575.2, -11.4, -1.98
'SVT', 1727.5, 1757.5, 1723.0, 180702.0, 1757.5, -30.0, -1.71
'SHP', 3072.5, 3125.0, 3028.0, 672337.0, 3054.0, 18.5, 0.61
'SKY', 1333.0, 1340.5, 1320.0, 1835793.0, 1331.5, 1.5, 0.11
'SN.', 1279.0, 1283.5, 1277.5, 339361.0, 1284.0, -5.0, -0.39
'SMDS', 480.2, 482.3, 480.0, 395926.0, 483.0, -2.8, -0.58
'SMIN', 1599.0, 1601.0, 1587.5, 132155.0, 1600.0, -1.0, -0.06
'SKG', 2522.0, 2528.0, 2498.0, 88585.0, 2528.0, -6.0, -0.24
'SSE', 1231.5, 1239.5, 1228.5, 794126.0, 1241.0, -9.5, -0.77
'STJ', 1168.5, 1173.0, 1113.5, 882237.0, 1125.5, 43.0, 3.82
'STAN', 816.3, 825.0, 810.4, 2061267.0, 839.0, -22.7, -2.71
'SLA', 372.9, 374.5, 370.7, 1728860.0, 374.0, -1.1, -0.29
'TW.', 190.35, 190.35, 181.2, 15211047.0, 193.75, -3.4, -1.75
'TSCO', 212.5, 213.2, 205.6, 11029460.0, 207.1, 5.4, 2.61
'TUI', 1544.5, 1551.0, 1535.0, 317257.0, 1553.0, -8.5, -0.55
'ULVR', 3751.0, 3757.0, 3728.0, 567997.0, 3752.0, -1.0, -0.03
'UU.', 671.0, 682.6, 668.8, 597534.0, 681.6, -10.6, -1.56
'VOD', 203.7, 204.35, 202.95, 9322978.0, 204.8, -1.1, -0.54
'WTB', 3920.0, 3930.0, 3894.0, 58592.0, 3928.0, -8.0, -0.2
'WPP', 1388.0, 1395.0, 1364.5, 986010.0, 1374.0, 14.0, 1.02
