Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 942.6, 945.8, 934.6, 439132.0, 948.0, -5.4, -0.57
'ABF', 2645.0, 2667.0, 2635.0, 215020.0, 2661.0, -16.0, -0.6
'ADM', 1894.5, 2054.0, 1861.0, 1280786.0, 1931.0, -36.5, -1.89
'AAL', 1795.8, 1824.8, 1792.4, 2024632.0, 1842.0, -46.2, -2.51
'ANTO', 887.8, 900.2, 883.4, 1472421.0, 905.8, -18.0, -1.99
'AHT', 2111.0, 2112.0, 2078.0, 541973.0, 2108.0, 3.0, 0.14
'AZN', 4820.5, 4844.0, 4788.0, 551436.0, 4795.0, 25.5, 0.53
'AV.', 506.0, 507.2, 502.0, 2333592.0, 506.0, 0.0, 0.0
'BA.', 582.2, 582.2, 567.6, 1588436.0, 572.6, 9.6, 1.68
'BARC', 214.2, 214.8, 210.9, 22739795.0, 212.0, 2.2, 1.04
'BDEV', 542.2, 547.8, 535.8, 2313955.0, 548.0, -5.8, -1.06
'BKG', 3876.0, 3903.0, 3828.0, 158045.0, 3892.0, -16.0, -0.41
'BLT', 1491.4, 1512.2, 1481.6, 3242961.0, 1525.0, -33.6, -2.2
'BP.', 480.05, 480.05, 475.1, 9197003.0, 478.2, 1.85, 0.39
'BATS', 4367.0, 4402.5, 4337.5, 1432043.0, 4397.5, -30.5, -0.69
'BLND', 629.0, 636.0, 626.8, 1056119.0, 637.2, -8.2, -1.29
'BT.A', 243.45, 244.6, 240.8, 8389605.0, 243.25, 0.2, 0.08
'BNZL', 1976.5, 1976.5, 1958.5, 386099.0, 1969.5, 7.0, 0.36
'BRBY', 1542.0, 1543.5, 1527.0, 271680.0, 1538.0, 4.0, 0.26
'CCL', 4823.0, 4827.0, 4772.0, 223358.0, 4821.0, 2.0, 0.04
'CNA', 142.65, 142.65, 140.55, 5439780.0, 141.8, 0.85, 0.6
'CCH', 2418.0, 2445.0, 2397.0, 232494.0, 2442.0, -24.0, -0.98
'CPG', 1554.0, 1555.0, 1542.5, 561292.0, 1550.0, 4.0, 0.26
'CRH', 2421.0, 2439.0, 2411.0, 520516.0, 2436.0, -15.0, -0.62
'CRDA', 4587.0, 4594.0, 4527.0, 91755.0, 4550.0, 37.0, 0.81
'DCC', 6705.0, 6730.0, 6675.0, 35672.0, 6735.0, -30.0, -0.45
'DGE', 2481.5, 2487.5, 2468.5, 2241220.0, 2479.0, 2.5, 0.1
'DLG', 387.0, 391.2, 385.9, 4498603.0, 387.9, -0.9, -0.23
'EZJ', 1687.0, 1695.0, 1663.5, 533236.0, 1679.0, 8.0, 0.48
'EVR', 434.2, 436.3, 425.8, 918761.0, 438.0, -3.8, -0.87
'EXPN', 1558.0, 1558.5, 1546.5, 303985.0, 1557.5, 0.5, 0.03
'FERG', 5184.0, 5216.0, 5138.0, 214955.0, 5186.0, -2.0, -0.04
'FRES', 1245.5, 1277.5, 1232.5, 414492.0, 1273.0, -27.5, -2.16
'GFS', 263.6, 264.1, 260.7, 717121.0, 265.6, -2.0, -0.75
'GKN', 436.4, 436.4, 428.0, 3497314.0, 430.7, 5.7, 1.32
'GSK', 1315.4, 1316.2, 1294.4, 2383946.0, 1303.8, 11.6, 0.89
'GLEN', 389.65, 393.5, 386.45, 13418557.0, 396.5, -6.85, -1.73
'HLMA', 1213.0, 1214.0, 1208.0, 155480.0, 1213.0, 0.0, 0.0
'HMSO', 448.7, 454.7, 448.0, 2414767.0, 455.7, -7.0, -1.54
'HL.', 1724.5, 1727.0, 1712.0, 158627.0, 1725.5, -1.0, -0.06
'HSBA', 721.1, 723.9, 714.3, 7875281.0, 719.2, 1.9, 0.26
'IMB', 2622.5, 2639.0, 2590.0, 854306.0, 2606.0, 16.5, 0.63
'INF', 695.8, 699.2, 675.4, 1576831.0, 686.0, 9.8, 1.43
'IHG', 4723.0, 4725.0, 4663.0, 127836.0, 4699.0, 24.0, 0.51
'ITRK', 4932.0, 4940.0, 4889.0, 84992.0, 4925.0, 7.0, 0.14
'IAG', 610.2, 610.6, 598.8, 2268172.0, 603.4, 6.8, 1.13
'ITV', 161.2, 169.75, 157.05, 31610573.0, 173.2, -12.0, -6.93
'JMAT', 3141.0, 3155.0, 3125.0, 172939.0, 3155.0, -14.0, -0.44
'JE.', 879.8, 883.0, 871.0, 622930.0, 875.0, 4.8, 0.55
'KGF', 362.1, 362.1, 350.0, 6663758.0, 362.5, -0.4, -0.11
'LAND', 925.9, 929.2, 915.7, 854115.0, 927.5, -1.6, -0.17
'LGEN', 264.6, 265.3, 262.6, 3142280.0, 263.4, 1.2, 0.46
'LLOY', 69.17, 69.22, 68.69, 34976428.0, 69.03, 0.14, 0.2
'LSE', 4076.0, 4080.0, 4009.0, 84679.0, 4054.0, 22.0, 0.54
'MKS', 298.0, 299.4, 295.9, 831394.0, 300.0, -2.0, -0.67
'MDC', 598.0, 604.6, 594.0, 798293.0, 607.2, -9.2, -1.52
'MCRO', 2067.0, 2074.0, 2052.0, 357389.0, 2060.0, 7.0, 0.34
'MNDI', 1900.0, 1901.5, 1872.0, 453235.0, 1893.5, 6.5, 0.34
'MRW', 225.5, 226.2, 222.2, 2108456.0, 224.9, 0.6, 0.27
'NG.', 751.5, 754.6, 745.7, 2765815.0, 756.5, -5.0, -0.66
'NXT', 4865.0, 4909.0, 4852.0, 119959.0, 4912.0, -47.0, -0.96
'NMC', 3472.0, 3506.0, 3468.0, 81978.0, 3516.0, -44.0, -1.25
'OML', 257.3, 258.0, 255.4, 3434109.0, 257.8, -0.5, -0.19
'PPB', 8535.0, 8575.0, 8500.0, 118768.0, 8585.0, -50.0, -0.58
'PSON', 728.6, 730.0, 720.0, 1216423.0, 727.0, 1.6, 0.22
'PSN', 2593.0, 2630.0, 2555.0, 1217879.0, 2604.0, -11.0, -0.42
'PRU', 1851.0, 1852.0, 1828.5, 1016889.0, 1841.0, 10.0, 0.54
'RRS', 5894.0, 5942.0, 5816.0, 331294.0, 5948.0, -54.0, -0.91
'RDSA', 2313.5, 2314.0, 2287.5, 1475051.0, 2302.5, 11.0, 0.48
'RDSB', 2332.5, 2333.5, 2299.0, 1210400.0, 2316.5, 16.0, 0.69
'RB.', 5817.0, 5883.0, 5772.0, 619032.0, 5841.0, -24.0, -0.41
'REL', 1495.0, 1496.5, 1480.0, 1050909.0, 1491.0, 4.0, 0.27
'RTO', 291.6, 291.6, 288.2, 2711533.0, 292.1, -0.5, -0.17
'RIO', 3950.0, 4017.5, 3916.5, 1977556.0, 4047.5, -97.5, -2.41
'RR.', 853.2, 853.2, 846.0, 574352.0, 852.4, 0.8, 0.09
'RBS', 268.8, 270.3, 267.9, 5083685.0, 270.4, -1.6, -0.59
'RSA', 634.8, 636.6, 630.6, 1016848.0, 633.6, 1.2, 0.19
'SGE', 695.4, 696.0, 687.6, 748482.0, 692.2, 3.2, 0.46
'SBRY', 259.8, 260.5, 255.3, 2403345.0, 257.7, 2.1, 0.81
'SDR', 3466.0, 3488.0, 3451.0, 103785.0, 3471.0, -5.0, -0.14
'SMT', 464.6, 467.4, 462.0, 868712.0, 467.0, -2.4, -0.51
'SGRO', 564.0, 574.4, 563.4, 845169.0, 575.2, -11.2, -1.95
'SVT', 1737.0, 1757.5, 1723.0, 219576.0, 1757.5, -20.5, -1.17
'SHP', 3095.5, 3125.0, 3028.0, 886425.0, 3054.0, 41.5, 1.36
'SKY', 1330.0, 1340.5, 1320.0, 2646144.0, 1331.5, -1.5, -0.11
'SN.', 1282.0, 1283.5, 1277.5, 530247.0, 1284.0, -2.0, -0.16
'SMDS', 481.9, 482.3, 480.0, 728914.0, 483.0, -1.1, -0.23
'SMIN', 1603.0, 1604.5, 1587.5, 162765.0, 1600.0, 3.0, 0.19
'SKG', 2528.0, 2528.0, 2498.0, 92572.0, 2528.0, 0.0, 0.0
'SSE', 1238.5, 1239.5, 1228.5, 938525.0, 1241.0, -2.5, -0.2
'STJ', 1158.5, 1173.0, 1113.5, 993711.0, 1125.5, 33.0, 2.93
'STAN', 816.5, 825.0, 810.4, 2503017.0, 839.0, -22.5, -2.68
'SLA', 373.0, 374.5, 370.7, 2088683.0, 374.0, -1.0, -0.27
'TW.', 187.65, 190.35, 181.2, 17479223.0, 193.75, -6.1, -3.15
'TSCO', 214.5, 215.0, 205.6, 28584711.0, 207.1, 7.4, 3.57
'TUI', 1551.5, 1552.0, 1535.0, 376681.0, 1553.0, -1.5, -0.1
'ULVR', 3762.0, 3762.0, 3728.0, 697441.0, 3752.0, 10.0, 0.27
'UU.', 676.0, 682.6, 668.8, 718159.0, 681.6, -5.6, -0.82
'VOD', 204.2, 204.55, 202.95, 11509677.0, 204.8, -0.6, -0.29
'WTB', 3926.0, 3931.0, 3894.0, 68587.0, 3928.0, -2.0, -0.05
'WPP', 1388.5, 1395.0, 1364.5, 1146125.0, 1374.0, 14.5, 1.06
