Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 943.4, 945.8, 934.6, 469317.0, 948.0, -4.6, -0.49
'ABF', 2651.0, 2667.0, 2635.0, 229993.0, 2661.0, -10.0, -0.38
'ADM', 1881.0, 2054.0, 1861.0, 1493099.0, 1931.0, -50.0, -2.59
'AAL', 1805.2, 1824.8, 1790.0, 2488880.0, 1842.0, -36.8, -2.0
'ANTO', 888.8, 900.2, 883.4, 1542409.0, 905.8, -17.0, -1.88
'AHT', 2116.0, 2117.0, 2078.0, 569694.0, 2108.0, 8.0, 0.38
'AZN', 4822.0, 4844.0, 4788.0, 627991.0, 4795.0, 27.0, 0.56
'AV.', 505.8, 507.2, 502.0, 2440591.0, 506.0, -0.2, -0.04
'BA.', 582.6, 582.8, 567.6, 1711173.0, 572.6, 10.0, 1.75
'BARC', 214.15, 214.8, 210.9, 23634854.0, 212.0, 2.15, 1.01
'BDEV', 541.0, 547.8, 535.8, 2481244.0, 548.0, -7.0, -1.28
'BKG', 3876.0, 3903.0, 3828.0, 173350.0, 3892.0, -16.0, -0.41
'BLT', 1495.0, 1512.2, 1481.6, 3349529.0, 1525.0, -30.0, -1.97
'BP.', 480.6, 481.25, 475.1, 9773459.0, 478.2, 2.4, 0.5
'BATS', 4360.5, 4402.5, 4337.5, 1554773.0, 4397.5, -37.0, -0.84
'BLND', 629.0, 636.0, 626.8, 1145060.0, 637.2, -8.2, -1.29
'BT.A', 243.9, 244.6, 240.8, 9133176.0, 243.25, 0.65, 0.27
'BNZL', 1971.0, 1976.5, 1958.5, 405942.0, 1969.5, 1.5, 0.08
'BRBY', 1543.5, 1544.0, 1527.0, 288627.0, 1538.0, 5.5, 0.36
'CCL', 4827.0, 4832.0, 4772.0, 239048.0, 4821.0, 6.0, 0.12
'CNA', 142.5, 143.0, 140.55, 5831895.0, 141.8, 0.7, 0.49
'CCH', 2418.0, 2445.0, 2397.0, 261328.0, 2442.0, -24.0, -0.98
'CPG', 1555.0, 1556.0, 1542.5, 612177.0, 1550.0, 5.0, 0.32
'CRH', 2424.0, 2439.0, 2411.0, 576766.0, 2436.0, -12.0, -0.49
'CRDA', 4602.0, 4602.0, 4527.0, 109540.0, 4550.0, 52.0, 1.14
'DCC', 6700.0, 6730.0, 6675.0, 40459.0, 6735.0, -35.0, -0.52
'DGE', 2479.5, 2487.5, 2468.5, 2315721.0, 2479.0, 0.5, 0.02
'DLG', 385.9, 391.2, 385.8, 4639365.0, 387.9, -2.0, -0.52
'EZJ', 1687.5, 1695.0, 1663.5, 571038.0, 1679.0, 8.5, 0.51
'EVR', 436.2, 437.1, 425.8, 975385.0, 438.0, -1.8, -0.41
'EXPN', 1558.0, 1560.0, 1546.5, 333162.0, 1557.5, 0.5, 0.03
