Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 915.8, 920.4, 903.8, 521738.0, 906.0, 9.8, 1.08, 8813.7
'ABF', 2599.0, 2625.0, 2584.0, 554814.0, 2607.0, -8.0, -0.31, 20638.95
'ADM', 1855.0, 1857.5, 1834.0, 335431.0, 1845.0, 10.0, 0.54, 5254.24
'AAL', 1676.2, 1710.6, 1664.6, 2560243.0, 1687.6, -11.4, -0.68, 23704.11
'ANTO', 850.4, 857.8, 839.8, 1464066.0, 842.6, 7.8, 0.93, 8306.9
'AHT', 2027.0, 2049.0, 2010.0, 1035907.0, 1998.5, 28.5, 1.43, 9977.03
'AZN', 4778.0, 4781.5, 4715.0, 1304806.0, 4736.0, 42.0, 0.89, 59940.74
'AV.', 497.2, 500.8, 495.1, 4953256.0, 497.5, -0.3, -0.06, 19955.75
'BA.', 572.8, 578.6, 570.4, 2219214.0, 576.0, -3.2, -0.56, 18336.61
'BARC', 204.65, 207.2, 204.1, 51798964.0, 205.3, -0.65, -0.32, 34962.98
'BDEV', 535.4, 546.4, 530.8, 2265688.0, 532.4, 3.0, 0.56, 5361.14
'BKG', 3778.0, 3816.0, 3757.0, 220670.0, 3765.0, 13.0, 0.35, 5098.39
'BLT', 1420.4, 1432.8, 1404.6, 5576294.0, 1412.6, 7.8, 0.55, 29823.99
'BP.', 467.2, 468.75, 463.9, 23548785.0, 464.1, 3.1, 0.67, 91324.93
'BATS', 4201.0, 4222.5, 4162.5, 1866571.0, 4220.0, -19.0, -0.45, 96969.16
'BLND', 634.0, 634.8, 626.8, 1093701.0, 627.6, 6.4, 1.02, 6311.47
'BT.A', 238.35, 238.9, 235.7, 8042996.0, 236.25, 2.1, 0.89, 23531.66
'BNZL', 1961.0, 1961.5, 1948.0, 455177.0, 1950.0, 11.0, 0.56, 6545.61
'BRBY', 1644.5, 1658.0, 1633.5, 951826.0, 1634.5, 10.0, 0.61, 6980.67
'CCL', 4623.0, 4653.0, 4603.0, 439545.0, 4621.0, 2.0, 0.04, 9860.68
'CNA', 142.0, 142.85, 140.5, 28014099.0, 141.4, 0.6, 0.42, 7907.62
'CCH', 2377.0, 2384.0, 2357.0, 985165.0, 2364.0, 13.0, 0.55, 8607.93
'CPG', 1523.5, 1530.5, 1519.5, 1059989.0, 1524.0, -0.5, -0.03, 24096.33
'CRH', 2446.0, 2471.0, 2394.0, 1607019.0, 2399.0, 47.0, 1.96, 20050.98
'CRDA', 4436.0, 4505.0, 4434.0, 208616.0, 4456.0, -20.0, -0.45, 5854.86
'DCC', 6570.0, 6605.0, 6505.0, 135277.0, 6515.0, 55.0, 0.84, 5786.39
'DGE', 2397.0, 2400.5, 2379.5, 1921235.0, 2381.5, 15.5, 0.65, 59949.19
'DLG', 376.2, 376.3, 372.0, 3304470.0, 373.8, 2.4, 0.64, 5139.75
'EZJ', 1572.0, 1605.5, 1567.0, 922994.0, 1577.0, -5.0, -0.32, 6263.97
'EVR', 433.6, 448.6, 431.1, 1463873.0, 444.3, -10.7, -2.41, 6362.61
'EXPN', 1511.0, 1528.0, 1511.0, 596957.0, 1520.5, -9.5, -0.62, 14154.38
'FERG', 5114.0, 5152.0, 5086.0, 159167.0, 5098.0, 16.0, 0.31, 12894.84
'FRES', 1200.0, 1206.5, 1192.0, 437882.0, 1197.5, 2.5, 0.21, 8824.3
'GFS', 253.5, 256.8, 253.0, 1592166.0, 254.3, -0.8, -0.31, 3945.7
'GKN', 419.9, 427.5, 416.9, 33140431.0, 420.0, -0.1, -0.02, 7212.75
'GSK', 1303.4, 1304.6, 1289.8, 2390132.0, 1290.0, 13.4, 1.04, 63434.88
'GLEN', 360.2, 368.9, 359.5, 24182338.0, 364.5, -4.3, -1.18, 52468.83
'HLMA', 1170.0, 1175.0, 1167.0, 546135.0, 1166.0, 4.0, 0.34, 4421.28
'HMSO', 451.2, 452.2, 444.4, 2896775.0, 447.9, 3.3, 0.74, 3552.69
'HL.', 1676.0, 1695.5, 1654.0, 581385.0, 1657.0, 19.0, 1.15, 7859.46
'HSBA', 699.7, 706.1, 698.7, 12184533.0, 705.0, -5.3, -0.75, 141347.75
'IMB', 2580.0, 2599.5, 2570.5, 718047.0, 2584.0, -4.0, -0.15, 24773.09
'INF', 701.0, 704.0, 696.2, 2243385.0, 697.6, 3.4, 0.49, 5748.26
'IHG', 4468.0, 4504.0, 4441.0, 287528.0, 4454.0, 14.0, 0.31, 8462.16
'ITRK', 4835.0, 4895.0, 4830.0, 216164.0, 4873.0, -38.0, -0.78, 7864.56
'IAG', 606.8, 619.4, 605.6, 5219751.0, 615.0, -8.2, -1.33, 12620.44
'ITV', 153.25, 155.2, 151.65, 12857931.0, 153.9, -0.65, -0.42, 6195.1
'JMAT', 3037.0, 3080.0, 3027.0, 166334.0, 3030.0, 7.0, 0.23, 5864.06
'JE.', 849.2, 858.0, 843.2, 2074524.0, 849.0, 0.2, 0.02, 5765.06
'KGF', 344.9, 350.5, 344.8, 6778352.0, 347.8, -2.9, -0.83, 7537.43
'LAND', 920.1, 920.1, 911.4, 769634.0, 913.0, 7.1, 0.78, 6768.34
'LGEN', 254.7, 255.4, 252.6, 7614020.0, 253.4, 1.3, 0.51, 15090.63
'LLOY', 66.56, 67.3, 66.56, 79385779.0, 67.0, -0.44, -0.66, 47878.18
'LSE', 3881.0, 3904.0, 3837.0, 328940.0, 3837.0, 44.0, 1.15, 13389.88
'MKS', 287.0, 289.5, 286.6, 2563372.0, 286.7, 0.3, 0.1, 4658.09
'MDC', 569.4, 578.6, 566.2, 1173434.0, 574.4, -5.0, -0.87, 4234.73
'MCRO', 1988.5, 2002.0, 1981.5, 567506.0, 1988.0, 0.5, 0.03, 8652.52
'MNDI', 1903.0, 1971.5, 1892.0, 1366320.0, 1911.0, -8.0, -0.42, 7017.97
'MRW', 225.8, 227.3, 224.4, 3296530.0, 222.7, 3.1, 1.39, 5201.42
'NG.', 746.6, 747.6, 737.6, 4122612.0, 739.2, 7.4, 1.0, 25067.81
'NXT', 4724.0, 4757.0, 4690.0, 197773.0, 4680.0, 44.0, 0.94, 6882.25
'NMC', 3326.0, 3396.0, 3322.0, 234735.0, 3332.0, -6.0, -0.18, 6806.8
'OML', 248.3, 249.2, 245.5, 6232018.0, 246.0, 2.3, 0.93, 12127.73
'PPB', 8310.0, 8340.0, 8205.0, 140439.0, 8295.0, 15.0, 0.18, 6984.38
'PSON', 722.6, 729.6, 718.2, 1084334.0, 718.8, 3.8, 0.53, 5834.97
'PSN', 2640.0, 2672.0, 2583.0, 876155.0, 2584.0, 56.0, 2.17, 7974.02
'PRU', 1783.5, 1798.5, 1776.5, 1152184.0, 1790.5, -7.0, -0.39, 46297.08
'RRS', 5922.0, 5976.0, 5868.0, 222609.0, 5940.0, -18.0, -0.3, 5582.68
'RDSA', 2254.0, 2272.0, 2240.5, 2233594.0, 2249.5, 4.5, 0.2, 102226.61
'RDSB', 2274.0, 2301.5, 2265.5, 2199841.0, 2279.5, -5.5, -0.24, 85378.37
'RB.', 5655.0, 5700.0, 5621.0, 727785.0, 5690.0, -35.0, -0.62, 39865.56
'REL', 1471.5, 1478.5, 1460.5, 2400010.0, 1467.5, 4.0, 0.27, 15749.9
'RTO', 260.7, 276.5, 260.6, 3571259.0, 272.5, -11.8, -4.33, 5006.73
'RIO', 3650.5, 3708.0, 3632.0, 3063557.0, 3638.5, 12.0, 0.33, 49660.55
'RR.', 814.0, 821.6, 800.2, 4594950.0, 817.4, -3.4, -0.42, 15041.28
'RBS', 258.7, 262.4, 257.0, 9557927.0, 257.6, 1.1, 0.43, 30592.21
