Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 943.4, 953.0, 937.6, 1208228.0, 945.6, -2.2, -0.23
'ABF', 2673.0, 2736.0, 2668.0, 727069.0, 2726.0, -53.0, -1.94
'ADM', 1933.0, 1949.0, 1904.0, 506247.0, 1934.0, -1.0, -0.05
'AAL', 1844.4, 1870.0, 1828.8, 4187302.0, 1843.6, 0.8, 0.04
'ANTO', 909.8, 927.4, 907.8, 1597676.0, 912.0, -2.2, -0.24
'AHT', 2107.0, 2121.0, 2073.0, 1017384.0, 2070.0, 37.0, 1.79
'AZN', 4798.0, 4838.5, 4787.0, 978134.0, 4813.5, -15.5, -0.32
'AV.', 505.6, 506.2, 500.4, 3032187.0, 502.0, 3.6, 0.72
'BA.', 573.6, 580.4, 570.6, 6128271.0, 577.6, -4.0, -0.69
'BARC', 211.85, 212.3, 209.2, 31452426.0, 208.5, 3.35, 1.61
'BDEV', 550.6, 568.4, 549.6, 5242002.0, 551.2, -0.6, -0.11
'BKG', 3891.0, 3988.0, 3887.0, 495749.0, 3862.0, 29.0, 0.75
'BLT', 1523.0, 1548.8, 1518.4, 5345407.0, 1542.4, -19.4, -1.26
'BP.', 477.8, 482.6, 476.85, 17040963.0, 480.85, -3.05, -0.63
'BATS', 4412.5, 4480.5, 4410.5, 2335582.0, 4464.5, -52.0, -1.16
'BLND', 637.6, 653.0, 637.4, 1521761.0, 650.2, -12.6, -1.94
'BT.A', 243.05, 244.55, 240.9, 9974943.0, 242.8, 0.25, 0.1
'BNZL', 1968.5, 1986.0, 1960.0, 1170939.0, 1975.0, -6.5, -0.33
'BRBY', 1543.5, 1556.5, 1540.0, 513675.0, 1546.5, -3.0, -0.19
'CCL', 4836.0, 4856.0, 4803.0, 447018.0, 4829.0, 7.0, 0.14
'CNA', 141.9, 144.65, 141.0, 16020507.0, 143.9, -2.0, -1.39
'CCH', 2448.0, 2492.0, 2445.0, 717107.0, 2472.0, -24.0, -0.97
'CPG', 1549.5, 1559.0, 1547.0, 2652163.0, 1552.5, -3.0, -0.19
'CRH', 2447.0, 2490.0, 2439.0, 793137.0, 2473.0, -26.0, -1.05
'CRDA', 4525.0, 4604.0, 4445.0, 209679.0, 4548.0, -23.0, -0.51
'DCC', 6710.0, 6845.0, 6700.0, 96579.0, 6815.0, -105.0, -1.54
'DGE', 2483.5, 2504.5, 2481.0, 3641287.0, 2487.0, -3.5, -0.14
'DLG', 388.2, 397.0, 380.3, 6003084.0, 388.6, -0.4, -0.1
'EZJ', 1675.0, 1692.5, 1644.5, 1230450.0, 1664.5, 10.5, 0.63
'EVR', 437.0, 440.5, 424.0, 2689470.0, 425.9, 11.1, 2.61
'EXPN', 1563.0, 1585.5, 1555.0, 732429.0, 1575.0, -12.0, -0.76
