Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 917.4, 920.4, 903.8, 405926.0, 906.0, 11.4, 1.26, 8813.7
'ABF', 2590.0, 2625.0, 2590.0, 284198.0, 2607.0, -17.0, -0.65, 20638.95
'ADM', 1848.5, 1853.0, 1834.0, 204677.0, 1845.0, 3.5, 0.19, 5254.24
'AAL', 1691.8, 1710.6, 1664.6, 1947067.0, 1687.6, 4.2, 0.25, 23704.11
'ANTO', 852.8, 857.8, 839.8, 1069722.0, 842.6, 10.2, 1.21, 8306.9
'AHT', 2036.0, 2049.0, 2010.0, 730122.0, 1998.5, 37.5, 1.88, 9977.03
'AZN', 4765.5, 4781.0, 4715.0, 910117.0, 4736.0, 29.5, 0.62, 59940.74
'AV.', 497.3, 500.8, 495.1, 3561695.0, 497.5, -0.2, -0.04, 19955.75
'BA.', 573.4, 578.6, 570.4, 1581497.0, 576.0, -2.6, -0.45, 18336.61
'BARC', 205.4, 207.2, 204.35, 16246393.0, 205.3, 0.1, 0.05, 34962.98
'BDEV', 538.2, 546.4, 530.8, 1993825.0, 532.4, 5.8, 1.09, 5361.14
'BKG', 3793.0, 3816.0, 3757.0, 179572.0, 3765.0, 28.0, 0.74, 5098.39
'BLT', 1427.6, 1432.8, 1404.6, 3724471.0, 1412.6, 15.0, 1.06, 29823.99
'BP.', 464.85, 468.75, 464.65, 8478287.0, 464.1, 0.75, 0.16, 91324.93
'BATS', 4173.5, 4222.5, 4168.5, 1413644.0, 4220.0, -46.5, -1.1, 96969.16
'BLND', 633.0, 634.6, 626.8, 927631.0, 627.6, 5.4, 0.86, 6311.47
'BT.A', 237.3, 238.9, 235.7, 5507060.0, 236.25, 1.05, 0.44, 23531.66
'BNZL', 1960.5, 1961.5, 1948.0, 344476.0, 1950.0, 10.5, 0.54, 6545.61
'BRBY', 1645.5, 1658.0, 1633.5, 729457.0, 1634.5, 11.0, 0.67, 6980.67
'CCL', 4638.0, 4653.0, 4603.0, 235030.0, 4621.0, 17.0, 0.37, 9860.68
'CNA', 141.5, 142.85, 140.5, 13050847.0, 141.4, 0.1, 0.07, 7907.62
'CCH', 2371.0, 2379.0, 2357.0, 187220.0, 2364.0, 7.0, 0.3, 8607.93
'CPG', 1522.5, 1530.5, 1520.5, 882449.0, 1524.0, -1.5, -0.1, 24096.33
