Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 917.4, 920.4, 903.8, 431171.0, 906.0, 11.4, 1.26, 8813.7
'ABF', 2587.0, 2625.0, 2584.0, 424611.0, 2607.0, -20.0, -0.77, 20638.95
'ADM', 1848.0, 1853.0, 1834.0, 280027.0, 1845.0, 3.0, 0.16, 5254.24
'AAL', 1687.8, 1710.6, 1664.6, 1998044.0, 1687.6, 0.2, 0.01, 23704.11
'ANTO', 851.4, 857.8, 839.8, 1107111.0, 842.6, 8.8, 1.04, 8306.9
'AHT', 2031.0, 2049.0, 2010.0, 782513.0, 1998.5, 32.5, 1.63, 9977.03
'AZN', 4759.0, 4781.0, 4715.0, 1142144.0, 4736.0, 23.0, 0.49, 59940.74
'AV.', 496.8, 500.8, 495.1, 3833875.0, 497.5, -0.7, -0.14, 19955.75
'BA.', 574.6, 578.6, 570.4, 1726966.0, 576.0, -1.4, -0.24, 18336.61
'BARC', 205.15, 207.2, 204.35, 48522524.0, 205.3, -0.15, -0.07, 34962.98
'BDEV', 538.0, 546.4, 530.8, 2047960.0, 532.4, 5.6, 1.05, 5361.14
'BKG', 3791.0, 3816.0, 3757.0, 187300.0, 3765.0, 26.0, 0.69, 5098.39
'BLT', 1425.6, 1432.8, 1404.6, 4373074.0, 1412.6, 13.0, 0.92, 29823.99
'BP.', 464.3, 468.75, 464.15, 21344024.0, 464.1, 0.2, 0.04, 91324.93
'BATS', 4174.0, 4222.5, 4162.5, 1522075.0, 4220.0, -46.0, -1.09, 96969.16
'BLND', 632.8, 634.6, 626.8, 956516.0, 627.6, 5.2, 0.83, 6311.47
'BT.A', 237.65, 238.9, 235.7, 5825274.0, 236.25, 1.4, 0.59, 23531.66
'BNZL', 1958.5, 1961.5, 1948.0, 366729.0, 1950.0, 8.5, 0.44, 6545.61
'BRBY', 1643.0, 1658.0, 1633.5, 766474.0, 1634.5, 8.5, 0.52, 6980.67
'CCL', 4642.0, 4653.0, 4603.0, 253544.0, 4621.0, 21.0, 0.45, 9860.68
