Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 914.0, 918.6, 903.8, 284586.0, 906.0, 8.0, 0.88, 8813.7
'ABF', 2594.0, 2625.0, 2594.0, 214967.0, 2607.0, -13.0, -0.5, 20638.95
'ADM', 1840.5, 1853.0, 1835.5, 139766.0, 1845.0, -4.5, -0.24, 5254.24
'AAL', 1698.2, 1710.6, 1664.6, 1658846.0, 1687.6, 10.6, 0.63, 23704.11
'ANTO', 853.4, 857.8, 839.8, 840231.0, 842.6, 10.8, 1.28, 8306.9
'AHT', 2029.0, 2049.0, 2010.0, 552265.0, 1998.5, 30.5, 1.53, 9977.03
'AZN', 4745.0, 4759.5, 4715.0, 566140.0, 4736.0, 9.0, 0.19, 59940.74
'AV.', 499.5, 500.8, 495.1, 2712768.0, 497.5, 2.0, 0.4, 19955.75
'BA.', 576.2, 578.6, 570.4, 1132048.0, 576.0, 0.2, 0.03, 18336.61
'BARC', 205.9, 207.2, 204.35, 12086821.0, 205.3, 0.6, 0.29, 34962.98
'BDEV', 540.4, 546.4, 530.8, 1580690.0, 532.4, 8.0, 1.5, 5361.14
'BKG', 3795.0, 3816.0, 3757.0, 144650.0, 3765.0, 30.0, 0.8, 5098.39
'BLT', 1429.6, 1432.8, 1404.6, 3075444.0, 1412.6, 17.0, 1.2, 29823.99
'BP.', 465.7, 468.75, 464.7, 7027990.0, 464.1, 1.6, 0.34, 91324.93
'BATS', 4196.5, 4222.5, 4175.0, 1159068.0, 4220.0, -23.5, -0.56, 96969.16
'BLND', 632.8, 634.6, 626.8, 766963.0, 627.6, 5.2, 0.83, 6311.47
'BT.A', 236.85, 238.9, 235.7, 4029593.0, 236.25, 0.6, 0.25, 23531.66
'BNZL', 1953.5, 1961.5, 1948.0, 244748.0, 1950.0, 3.5, 0.18, 6545.61
'BRBY', 1635.5, 1658.0, 1635.0, 521830.0, 1634.5, 1.0, 0.06, 6980.67
'CCL', 4638.0, 4653.0, 4603.0, 169190.0, 4621.0, 17.0, 0.37, 9860.68
'CNA', 142.15, 142.85, 140.5, 10153270.0, 141.4, 0.75, 0.53, 7907.62
'CCH', 2371.0, 2379.0, 2357.0, 128644.0, 2364.0, 7.0, 0.3, 8607.93
'CPG', 1522.5, 1530.5, 1520.5, 739428.0, 1524.0, -1.5, -0.1, 24096.33
'CRH', 2453.0, 2471.0, 2394.0, 591666.0, 2399.0, 54.0, 2.25, 20050.98
'CRDA', 4458.0, 4505.0, 4437.0, 97822.0, 4456.0, 2.0, 0.04, 5854.86
'DCC', 6560.0, 6605.0, 6505.0, 62452.0, 6515.0, 45.0, 0.69, 5786.39
'DGE', 2389.0, 2392.0, 2379.5, 805755.0, 2381.5, 7.5, 0.31, 59949.19
'DLG', 373.9, 374.6, 372.0, 975855.0, 373.8, 0.1, 0.03, 5139.75
'EZJ', 1573.0, 1605.5, 1571.0, 551755.0, 1577.0, -4.0, -0.25, 6263.97
'EVR', 436.4, 448.6, 435.6, 591677.0, 444.3, -7.9, -1.78, 6362.61
'EXPN', 1521.0, 1528.0, 1518.5, 261424.0, 1520.5, 0.5, 0.03, 14154.38
'FERG', 5130.0, 5152.0, 5086.0, 70610.0, 5098.0, 32.0, 0.63, 12894.84
'FRES', 1200.5, 1206.5, 1192.0, 278966.0, 1197.5, 3.0, 0.25, 8824.3
'GFS', 255.1, 256.8, 253.2, 772527.0, 254.3, 0.8, 0.31, 3945.7
'GKN', 422.0, 427.5, 416.9, 2299110.0, 420.0, 2.0, 0.48, 7212.75
'GSK', 1295.2, 1296.6, 1289.8, 1147625.0, 1290.0, 5.2, 0.4, 63434.88
'GLEN', 363.6, 368.9, 359.5, 11982651.0, 364.5, -0.9, -0.25, 52468.83
'HLMA', 1168.0, 1175.0, 1167.0, 376425.0, 1166.0, 2.0, 0.17, 4421.28
'HMSO', 447.6, 448.4, 444.4, 1421344.0, 447.9, -0.3, -0.07, 3552.69
'HL.', 1684.0, 1695.5, 1654.0, 323785.0, 1657.0, 27.0, 1.63, 7859.46
'HSBA', 701.1, 706.1, 701.0, 7027829.0, 705.0, -3.9, -0.55, 141347.75
'IMB', 2581.0, 2599.5, 2574.5, 441075.0, 2584.0, -3.0, -0.12, 24773.09
'INF', 698.8, 702.0, 696.2, 341709.0, 697.6, 1.2, 0.17, 5748.26
'IHG', 4469.0, 4504.0, 4441.0, 156661.0, 4454.0, 15.0, 0.34, 8462.16
'ITRK', 4872.0, 4894.0, 4853.0, 144091.0, 4873.0, -1.0, -0.02, 7864.56
'IAG', 613.6, 619.4, 612.8, 2010490.0, 615.0, -1.4, -0.23, 12620.44
'ITV', 152.85, 155.2, 152.25, 4914684.0, 153.9, -1.05, -0.68, 6195.1
'JMAT', 3044.0, 3080.0, 3027.0, 100491.0, 3030.0, 14.0, 0.46, 5864.06
'JE.', 853.8, 858.0, 843.2, 1246787.0, 849.0, 4.8, 0.57, 5765.06
'KGF', 349.0, 350.5, 347.5, 1225264.0, 347.8, 1.2, 0.35, 7537.43
'LAND', 913.9, 918.5, 911.4, 471278.0, 913.0, 0.9, 0.1, 6768.34
'LGEN', 254.3, 255.4, 252.6, 4543222.0, 253.4, 0.9, 0.36, 15090.63
'LLOY', 66.86, 67.3, 66.6, 46709081.0, 67.0, -0.14, -0.21, 47878.18
'LSE', 3857.0, 3901.0, 3837.0, 160975.0, 3837.0, 20.0, 0.52, 13389.88
'MKS', 287.4, 289.5, 287.0, 1684425.0, 286.7, 0.7, 0.24, 4658.09
'MDC', 569.6, 578.6, 567.6, 599628.0, 574.4, -4.8, -0.84, 4234.73
'MCRO', 1985.0, 2002.0, 1981.5, 315803.0, 1988.0, -3.0, -0.15, 8652.52
'MNDI', 1936.0, 1971.5, 1912.0, 725475.0, 1911.0, 25.0, 1.31, 7017.97
'MRW', 225.2, 227.3, 224.4, 2032269.0, 222.7, 2.5, 1.12, 5201.42
'NG.', 741.1, 742.6, 737.6, 2044645.0, 739.2, 1.9, 0.26, 25067.81
'NXT', 4719.0, 4757.0, 4690.0, 135620.0, 4680.0, 39.0, 0.83, 6882.25
'NMC', 3342.0, 3396.0, 3324.0, 176045.0, 3332.0, 10.0, 0.3, 6806.8
'OML', 247.6, 248.4, 245.5, 2521184.0, 246.0, 1.6, 0.65, 12127.73
'PPB', 8310.0, 8340.0, 8205.0, 99401.0, 8295.0, 15.0, 0.18, 6984.38
'PSON', 723.8, 725.4, 718.2, 568476.0, 718.8, 5.0, 0.7, 5834.97
'PSN', 2635.0, 2672.0, 2583.0, 572612.0, 2584.0, 51.0, 1.97, 7974.02
'PRU', 1788.0, 1798.5, 1776.5, 626557.0, 1790.5, -2.5, -0.14, 46297.08
'RRS', 5908.0, 5976.0, 5896.0, 124660.0, 5940.0, -32.0, -0.54, 5582.68
'RDSA', 2257.0, 2272.0, 2243.5, 1427175.0, 2249.5, 7.5, 0.33, 102226.61
'RDSB', 2279.0, 2301.5, 2274.5, 1233814.0, 2279.5, -0.5, -0.02, 85378.37
'RB.', 5648.0, 5700.0, 5621.0, 445562.0, 5690.0, -42.0, -0.74, 39865.56
'REL', 1473.5, 1478.5, 1460.5, 1182447.0, 1467.5, 6.0, 0.41, 15749.9
'RTO', 266.9, 276.5, 266.9, 1955377.0, 272.5, -5.6, -2.06, 5006.73
'RIO', 3685.0, 3708.0, 3632.0, 1752562.0, 3638.5, 46.5, 1.28, 49660.55
'RR.', 809.6, 821.6, 800.2, 2379876.0, 817.4, -7.8, -0.95, 15041.28
'RBS', 259.8, 262.4, 257.0, 6423874.0, 257.6, 2.2, 0.85, 30592.21
