Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 915.4, 918.6, 903.8, 265184.0, 906.0, 9.4, 1.04, 8813.7
'ABF', 2595.0, 2625.0, 2594.0, 209483.0, 2607.0, -12.0, -0.46, 20638.95
'ADM', 1839.5, 1853.0, 1835.5, 128024.0, 1845.0, -5.5, -0.3, 5254.24
'AAL', 1697.2, 1710.6, 1664.6, 1627535.0, 1687.6, 9.6, 0.57, 23704.11
'ANTO', 851.8, 857.8, 839.8, 800637.0, 842.6, 9.2, 1.09, 8306.9
'AHT', 2030.0, 2049.0, 2010.0, 524896.0, 1998.5, 31.5, 1.58, 9977.03
'AZN', 4740.5, 4759.5, 4715.0, 551869.0, 4736.0, 4.5, 0.1, 59940.74
'AV.', 500.4, 500.8, 495.1, 2595843.0, 497.5, 2.9, 0.58, 19955.75
'BA.', 575.8, 578.6, 570.4, 1054086.0, 576.0, -0.2, -0.03, 18336.61
'BARC', 206.1, 207.2, 204.35, 11874839.0, 205.3, 0.8, 0.39, 34962.98
'BDEV', 542.0, 546.4, 530.8, 1498137.0, 532.4, 9.6, 1.8, 5361.14
'BKG', 3799.0, 3816.0, 3757.0, 136445.0, 3765.0, 34.0, 0.9, 5098.39
'BLT', 1430.6, 1432.8, 1404.6, 3024687.0, 1412.6, 18.0, 1.27, 29823.99
'BP.', 465.2, 468.75, 464.7, 6845852.0, 464.1, 1.1, 0.24, 91324.93
'BATS', 4180.0, 4222.5, 4175.0, 1096143.0, 4220.0, -40.0, -0.95, 96969.16
'BLND', 632.8, 634.6, 626.8, 713236.0, 627.6, 5.2, 0.83, 6311.47
'BT.A', 236.95, 238.9, 235.7, 3772491.0, 236.25, 0.7, 0.3, 23531.66
'BNZL', 1955.5, 1961.5, 1948.0, 231243.0, 1950.0, 5.5, 0.28, 6545.61
'BRBY', 1643.5, 1658.0, 1639.0, 481237.0, 1634.5, 9.0, 0.55, 6980.67
'CCL', 4644.0, 4653.0, 4603.0, 161403.0, 4621.0, 23.0, 0.5, 9860.68
'CNA', 142.05, 142.85, 140.5, 9703035.0, 141.4, 0.65, 0.46, 7907.62
'CCH', 2374.0, 2379.0, 2357.0, 118391.0, 2364.0, 10.0, 0.42, 8607.93
'CPG', 1522.5, 1530.5, 1520.5, 718870.0, 1524.0, -1.5, -0.1, 24096.33
'CRH', 2450.0, 2457.0, 2394.0, 523945.0, 2399.0, 51.0, 2.13, 20050.98
'CRDA', 4468.0, 4505.0, 4437.0, 91553.0, 4456.0, 12.0, 0.27, 5854.86
'DCC', 6565.0, 6605.0, 6505.0, 60081.0, 6515.0, 50.0, 0.77, 5786.39
'DGE', 2387.0, 2392.0, 2379.5, 779315.0, 2381.5, 5.5, 0.23, 59949.19
'DLG', 374.0, 374.6, 372.0, 916587.0, 373.8, 0.2, 0.05, 5139.75
'EZJ', 1578.5, 1605.5, 1571.0, 527644.0, 1577.0, 1.5, 0.1, 6263.97
'EVR', 439.1, 448.6, 438.8, 533314.0, 444.3, -5.2, -1.17, 6362.61
'EXPN', 1522.5, 1528.0, 1518.5, 248433.0, 1520.5, 2.0, 0.13, 14154.38
'FERG', 5132.0, 5152.0, 5086.0, 66940.0, 5098.0, 34.0, 0.67, 12894.84
'FRES', 1200.5, 1206.5, 1192.0, 265536.0, 1197.5, 3.0, 0.25, 8824.3
'GFS', 255.4, 256.8, 253.2, 738829.0, 254.3, 1.1, 0.43, 3945.7
'GKN', 421.9, 427.5, 416.9, 2144927.0, 420.0, 1.9, 0.45, 7212.75
'GSK', 1293.2, 1296.6, 1289.8, 1101216.0, 1290.0, 3.2, 0.25, 63434.88
'GLEN', 363.85, 368.9, 359.5, 11702086.0, 364.5, -0.65, -0.18, 52468.83
'HLMA', 1169.0, 1175.0, 1167.0, 362742.0, 1166.0, 3.0, 0.26, 4421.28
'HMSO', 447.2, 448.4, 444.4, 1346736.0, 447.9, -0.7, -0.16, 3552.69
'HL.', 1684.0, 1695.5, 1654.0, 302853.0, 1657.0, 27.0, 1.63, 7859.46
'HSBA', 702.0, 706.1, 701.0, 6738217.0, 705.0, -3.0, -0.43, 141347.75
'IMB', 2577.0, 2599.5, 2574.5, 426974.0, 2584.0, -7.0, -0.27, 24773.09
'INF', 700.0, 702.0, 696.2, 309895.0, 697.6, 2.4, 0.34, 5748.26
'IHG', 4481.0, 4504.0, 4441.0, 149791.0, 4454.0, 27.0, 0.61, 8462.16
'ITRK', 4875.0, 4894.0, 4853.0, 138771.0, 4873.0, 2.0, 0.04, 7864.56
'IAG', 614.8, 619.4, 612.8, 1931675.0, 615.0, -0.2, -0.03, 12620.44
'ITV', 153.0, 155.2, 152.25, 4681795.0, 153.9, -0.9, -0.58, 6195.1
'JMAT', 3053.0, 3080.0, 3027.0, 94208.0, 3030.0, 23.0, 0.76, 5864.06
'JE.', 856.0, 858.0, 843.2, 1196051.0, 849.0, 7.0, 0.82, 5765.06
'KGF', 349.4, 350.5, 347.5, 1127506.0, 347.8, 1.6, 0.46, 7537.43
'LAND', 913.7, 918.5, 911.4, 458854.0, 913.0, 0.7, 0.08, 6768.34
'LGEN', 254.7, 255.4, 252.6, 4222200.0, 253.4, 1.3, 0.51, 15090.63
'LLOY', 67.02, 67.3, 66.6, 44404759.0, 67.0, 0.02, 0.03, 47878.18
'LSE', 3854.0, 3901.0, 3837.0, 151815.0, 3837.0, 17.0, 0.44, 13389.88
'MKS', 287.4, 289.5, 287.0, 1633859.0, 286.7, 0.7, 0.24, 4658.09
'MDC', 569.0, 578.6, 567.6, 578745.0, 574.4, -5.4, -0.94, 4234.73
'MCRO', 1986.0, 2002.0, 1981.5, 283100.0, 1988.0, -2.0, -0.1, 8652.52
'MNDI', 1936.0, 1971.5, 1912.0, 709984.0, 1911.0, 25.0, 1.31, 7017.97
'MRW', 225.1, 227.3, 224.4, 1988240.0, 222.7, 2.4, 1.08, 5201.42
'NG.', 739.7, 742.6, 737.6, 1951302.0, 739.2, 0.5, 0.07, 25067.81
'NXT', 4726.0, 4757.0, 4690.0, 129230.0, 4680.0, 46.0, 0.98, 6882.25
'NMC', 3346.0, 3396.0, 3324.0, 169622.0, 3332.0, 14.0, 0.42, 6806.8
'OML', 247.9, 248.4, 245.5, 2344030.0, 246.0, 1.9, 0.77, 12127.73
'PPB', 8310.0, 8340.0, 8205.0, 87904.0, 8295.0, 15.0, 0.18, 6984.38
'PSON', 724.6, 725.4, 718.2, 556486.0, 718.8, 5.8, 0.81, 5834.97
'PSN', 2638.0, 2672.0, 2583.0, 554097.0, 2584.0, 54.0, 2.09, 7974.02
'PRU', 1790.5, 1798.5, 1776.5, 595529.0, 1790.5, 0.0, 0.0, 46297.08
'RRS', 5898.0, 5976.0, 5898.0, 113798.0, 5940.0, -42.0, -0.71, 5582.68
'RDSA', 2252.5, 2272.0, 2243.5, 1384177.0, 2249.5, 3.0, 0.13, 102226.61
'RDSB', 2275.5, 2301.5, 2274.5, 1195088.0, 2279.5, -4.0, -0.18, 85378.37
'RB.', 5641.0, 5700.0, 5621.0, 431226.0, 5690.0, -49.0, -0.86, 39865.56
'REL', 1474.0, 1478.5, 1460.5, 1152829.0, 1467.5, 6.5, 0.44, 15749.9
'RTO', 268.4, 276.5, 268.2, 1825077.0, 272.5, -4.1, -1.5, 5006.73
'RIO', 3685.0, 3708.0, 3632.0, 1709307.0, 3638.5, 46.5, 1.28, 49660.55
'RR.', 811.6, 821.6, 800.2, 2123606.0, 817.4, -5.8, -0.71, 15041.28
'RBS', 261.1, 262.4, 257.0, 6208105.0, 257.6, 3.5, 1.36, 30592.21
'RSA', 613.8, 616.4, 612.4, 702137.0, 613.4, 0.4, 0.07, 6258.4
'SGE', 668.6, 673.2, 661.0, 694663.0, 662.0, 6.6, 1.0, 7155.36
'SBRY', 254.0, 256.4, 253.4, 997929.0, 253.0, 1.0, 0.4, 5537.92
'SDR', 3364.0, 3378.0, 3343.0, 70146.0, 3347.0, 17.0, 0.51, 7564.06
'SMT', 458.6, 459.0, 448.4, 1422943.0, 451.2, 7.4, 1.64, 6298.84
'SGRO', 579.4, 582.0, 574.0, 504322.0, 572.2, 7.2, 1.26, 5712.26
'SVT', 1729.5, 1738.0, 1715.5, 248164.0, 1722.0, 7.5, 0.44, 4062.6
