Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 915.0, 918.6, 903.8, 302696.0, 906.0, 9.0, 0.99, 8813.7
'ABF', 2593.0, 2625.0, 2592.0, 218532.0, 2607.0, -14.0, -0.54, 20638.95
'ADM', 1834.5, 1853.0, 1834.0, 146420.0, 1845.0, -10.5, -0.57, 5254.24
'AAL', 1697.4, 1710.6, 1664.6, 1681004.0, 1687.6, 9.8, 0.58, 23704.11
'ANTO', 852.2, 857.8, 839.8, 872337.0, 842.6, 9.6, 1.14, 8306.9
'AHT', 2034.0, 2049.0, 2010.0, 565290.0, 1998.5, 35.5, 1.78, 9977.03
'AZN', 4749.5, 4759.5, 4715.0, 577866.0, 4736.0, 13.5, 0.29, 59940.74
'AV.', 499.7, 500.8, 495.1, 2842136.0, 497.5, 2.2, 0.44, 19955.75
'BA.', 576.0, 578.6, 570.4, 1181305.0, 576.0, 0.0, 0.0, 18336.61
'BARC', 206.1, 207.2, 204.35, 12331483.0, 205.3, 0.8, 0.39, 34962.98
'BDEV', 540.6, 546.4, 530.8, 1654131.0, 532.4, 8.2, 1.54, 5361.14
'BKG', 3797.0, 3816.0, 3757.0, 148891.0, 3765.0, 32.0, 0.85, 5098.39
'BLT', 1428.0, 1432.8, 1404.6, 3148382.0, 1412.6, 15.4, 1.09, 29823.99
'BP.', 465.15, 468.75, 464.7, 7124263.0, 464.1, 1.05, 0.23, 91324.93
'BATS', 4195.0, 4222.5, 4175.0, 1174530.0, 4220.0, -25.0, -0.59, 96969.16
'BLND', 632.2, 634.6, 626.8, 787283.0, 627.6, 4.6, 0.73, 6311.47
'BT.A', 237.15, 238.9, 235.7, 4194762.0, 236.25, 0.9, 0.38, 23531.66
'BNZL', 1955.0, 1961.5, 1948.0, 259602.0, 1950.0, 5.0, 0.26, 6545.61
'BRBY', 1636.0, 1658.0, 1634.5, 550803.0, 1634.5, 1.5, 0.09, 6980.67
'CCL', 4643.0, 4653.0, 4603.0, 179419.0, 4621.0, 22.0, 0.48, 9860.68
'CNA', 141.9, 142.85, 140.5, 10548254.0, 141.4, 0.5, 0.35, 7907.62
'CCH', 2371.0, 2379.0, 2357.0, 133566.0, 2364.0, 7.0, 0.3, 8607.93
'CPG', 1523.5, 1530.5, 1520.5, 755562.0, 1524.0, -0.5, -0.03, 24096.33
'CRH', 2454.0, 2471.0, 2394.0, 629256.0, 2399.0, 55.0, 2.29, 20050.98
'CRDA', 4464.0, 4505.0, 4437.0, 106068.0, 4456.0, 8.0, 0.18, 5854.86
'DCC', 6580.0, 6605.0, 6505.0, 65405.0, 6515.0, 65.0, 1.0, 5786.39
'DGE', 2386.0, 2392.0, 2379.5, 1083572.0, 2381.5, 4.5, 0.19, 59949.19
'DLG', 373.9, 374.6, 372.0, 1009407.0, 373.8, 0.1, 0.03, 5139.75
'EZJ', 1579.0, 1605.5, 1571.0, 574011.0, 1577.0, 2.0, 0.13, 6263.97
'EVR', 437.7, 448.6, 435.6, 632591.0, 444.3, -6.6, -1.49, 6362.61
'EXPN', 1522.5, 1528.0, 1518.5, 277723.0, 1520.5, 2.0, 0.13, 14154.38
'FERG', 5130.0, 5152.0, 5086.0, 74749.0, 5098.0, 32.0, 0.63, 12894.84
'FRES', 1199.0, 1206.5, 1192.0, 294534.0, 1197.5, 1.5, 0.13, 8824.3
'GFS', 255.7, 256.8, 253.2, 827622.0, 254.3, 1.4, 0.55, 3945.7
'GKN', 422.7, 427.5, 416.9, 2387409.0, 420.0, 2.7, 0.64, 7212.75
'GSK', 1295.8, 1296.6, 1289.8, 1172373.0, 1290.0, 5.8, 0.45, 63434.88
'GLEN', 363.5, 368.9, 359.5, 12414933.0, 364.5, -1.0, -0.27, 52468.83
'HLMA', 1170.0, 1175.0, 1167.0, 386353.0, 1166.0, 4.0, 0.34, 4421.28
'HMSO', 448.4, 448.4, 444.4, 1466156.0, 447.9, 0.5, 0.11, 3552.69
'HL.', 1684.5, 1695.5, 1654.0, 333239.0, 1657.0, 27.5, 1.66, 7859.46
'HSBA', 700.9, 706.1, 700.6, 7232288.0, 705.0, -4.1, -0.58, 141347.75
'IMB', 2580.5, 2599.5, 2574.5, 454957.0, 2584.0, -3.5, -0.14, 24773.09
'INF', 699.2, 702.0, 696.2, 363655.0, 697.6, 1.6, 0.23, 5748.26
'IHG', 4479.0, 4504.0, 4441.0, 161440.0, 4454.0, 25.0, 0.56, 8462.16
'ITRK', 4880.0, 4894.0, 4853.0, 148909.0, 4873.0, 7.0, 0.14, 7864.56
'IAG', 615.2, 619.4, 612.8, 2089097.0, 615.0, 0.2, 0.03, 12620.44
'ITV', 152.45, 155.2, 152.25, 5190262.0, 153.9, -1.45, -0.94, 6195.1
'JMAT', 3050.0, 3080.0, 3027.0, 106774.0, 3030.0, 20.0, 0.66, 5864.06
'JE.', 855.2, 858.0, 843.2, 1299858.0, 849.0, 6.2, 0.73, 5765.06
'KGF', 348.8, 350.5, 347.5, 1720511.0, 347.8, 1.0, 0.29, 7537.43
'LAND', 914.4, 918.5, 911.4, 494043.0, 913.0, 1.4, 0.15, 6768.34
'LGEN', 254.3, 255.4, 252.6, 5456938.0, 253.4, 0.9, 0.36, 15090.63
'LLOY', 66.87, 67.3, 66.6, 48237130.0, 67.0, -0.13, -0.19, 47878.18
'LSE', 3865.0, 3901.0, 3837.0, 168292.0, 3837.0, 28.0, 0.73, 13389.88
'MKS', 288.2, 289.5, 287.0, 1802442.0, 286.7, 1.5, 0.52, 4658.09
'MDC', 569.2, 578.6, 566.8, 637948.0, 574.4, -5.2, -0.91, 4234.73
'MCRO', 1989.5, 2002.0, 1981.5, 330666.0, 1988.0, 1.5, 0.08, 8652.52
'MNDI', 1938.5, 1971.5, 1912.0, 749902.0, 1911.0, 27.5, 1.44, 7017.97
'MRW', 225.5, 227.3, 224.4, 2093934.0, 222.7, 2.8, 1.26, 5201.42
'NG.', 740.7, 742.6, 737.6, 2135343.0, 739.2, 1.5, 0.2, 25067.81
'NXT', 4719.0, 4757.0, 4690.0, 140431.0, 4680.0, 39.0, 0.83, 6882.25
'NMC', 3350.0, 3396.0, 3324.0, 179076.0, 3332.0, 18.0, 0.54, 6806.8
'OML', 247.7, 248.4, 245.5, 2659310.0, 246.0, 1.7, 0.69, 12127.73
'PPB', 8305.0, 8340.0, 8205.0, 101528.0, 8295.0, 10.0, 0.12, 6984.38
'PSON', 724.2, 725.4, 718.2, 593103.0, 718.8, 5.4, 0.75, 5834.97
'PSN', 2637.0, 2672.0, 2583.0, 589452.0, 2584.0, 53.0, 2.05, 7974.02
'PRU', 1789.5, 1798.5, 1776.5, 654344.0, 1790.5, -1.0, -0.06, 46297.08
'RRS', 5904.0, 5976.0, 5896.0, 126375.0, 5940.0, -36.0, -0.61, 5582.68
'RDSA', 2255.0, 2272.0, 2243.5, 1497084.0, 2249.5, 5.5, 0.24, 102226.61
'RDSB', 2277.0, 2301.5, 2274.5, 1276153.0, 2279.5, -2.5, -0.11, 85378.37
'RB.', 5664.0, 5700.0, 5621.0, 460483.0, 5690.0, -26.0, -0.46, 39865.56
'REL', 1473.0, 1478.5, 1460.5, 1203563.0, 1467.5, 5.5, 0.37, 15749.9
'RTO', 268.2, 276.5, 266.5, 2075052.0, 272.5, -4.3, -1.58, 5006.73
'RIO', 3676.5, 3708.0, 3632.0, 1787819.0, 3638.5, 38.0, 1.04, 49660.55
'RR.', 812.2, 821.6, 800.2, 3515763.0, 817.4, -5.2, -0.64, 15041.28
'RBS', 259.6, 262.4, 257.0, 6577737.0, 257.6, 2.0, 0.78, 30592.21
