Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 916.8, 920.4, 903.8, 498470.0, 906.0, 10.8, 1.19, 8813.7
'ABF', 2598.0, 2625.0, 2584.0, 517910.0, 2607.0, -9.0, -0.35, 20638.95
'ADM', 1852.5, 1853.0, 1834.0, 316111.0, 1845.0, 7.5, 0.41, 5254.24
'AAL', 1674.2, 1710.6, 1664.6, 2374548.0, 1687.6, -13.4, -0.79, 23704.11
'ANTO', 850.4, 857.8, 839.8, 1397265.0, 842.6, 7.8, 0.93, 8306.9
'AHT', 2028.0, 2049.0, 2010.0, 988954.0, 1998.5, 29.5, 1.48, 9977.03
'AZN', 4770.5, 4781.0, 4715.0, 1276347.0, 4736.0, 34.5, 0.73, 59940.74
'AV.', 497.0, 500.8, 495.1, 4650007.0, 497.5, -0.5, -0.1, 19955.75
'BA.', 572.4, 578.6, 570.4, 2096593.0, 576.0, -3.6, -0.63, 18336.61
'BARC', 204.65, 207.2, 204.1, 51170065.0, 205.3, -0.65, -0.32, 34962.98
'BDEV', 536.8, 546.4, 530.8, 2231496.0, 532.4, 4.4, 0.83, 5361.14
'BKG', 3778.0, 3816.0, 3757.0, 213027.0, 3765.0, 13.0, 0.35, 5098.39
'BLT', 1421.2, 1432.8, 1404.6, 4903950.0, 1412.6, 8.6, 0.61, 29823.99
'BP.', 466.6, 468.75, 463.9, 23028298.0, 464.1, 2.5, 0.54, 91324.93
'BATS', 4206.5, 4222.5, 4162.5, 1809042.0, 4220.0, -13.5, -0.32, 96969.16
'BLND', 634.4, 634.8, 626.8, 1054961.0, 627.6, 6.8, 1.08, 6311.47
'BT.A', 238.4, 238.9, 235.7, 6877547.0, 236.25, 2.15, 0.91, 23531.66
'BNZL', 1958.5, 1961.5, 1948.0, 429906.0, 1950.0, 8.5, 0.44, 6545.61
'BRBY', 1643.0, 1658.0, 1633.5, 901523.0, 1634.5, 8.5, 0.52, 6980.67
'CCL', 4631.0, 4653.0, 4603.0, 391186.0, 4621.0, 10.0, 0.22, 9860.68
'CNA', 141.55, 142.85, 140.5, 27007615.0, 141.4, 0.15, 0.11, 7907.62
'CCH', 2382.0, 2384.0, 2357.0, 972577.0, 2364.0, 18.0, 0.76, 8607.93
'CPG', 1523.5, 1530.5, 1519.5, 1021127.0, 1524.0, -0.5, -0.03, 24096.33
'CRH', 2442.0, 2471.0, 2394.0, 1563917.0, 2399.0, 43.0, 1.79, 20050.98
'CRDA', 4440.0, 4505.0, 4437.0, 200860.0, 4456.0, -16.0, -0.36, 5854.86
'DCC', 6570.0, 6605.0, 6505.0, 132769.0, 6515.0, 55.0, 0.84, 5786.39
'DGE', 2396.5, 2398.0, 2379.5, 1838084.0, 2381.5, 15.0, 0.63, 59949.19
'DLG', 375.4, 375.5, 372.0, 3012790.0, 373.8, 1.6, 0.43, 5139.75
'EZJ', 1570.0, 1605.5, 1567.0, 900024.0, 1577.0, -7.0, -0.44, 6263.97
'EVR', 432.5, 448.6, 431.1, 1390839.0, 444.3, -11.8, -2.66, 6362.61
'EXPN', 1514.5, 1528.0, 1514.0, 559658.0, 1520.5, -6.0, -0.39, 14154.38
'FERG', 5110.0, 5152.0, 5086.0, 150703.0, 5098.0, 12.0, 0.24, 12894.84
'FRES', 1201.5, 1206.5, 1192.0, 425234.0, 1197.5, 4.0, 0.33, 8824.3
'GFS', 253.7, 256.8, 253.0, 1515394.0, 254.3, -0.6, -0.24, 3945.7
'GKN', 419.9, 427.5, 416.9, 32526723.0, 420.0, -0.1, -0.02, 7212.75
