Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 931.2, 936.6, 927.0, 281035.0, 922.0, 9.2, 1.0, 8969.35
'ABF', 2595.0, 2622.0, 2584.0, 316832.0, 2590.0, 5.0, 0.19, 20504.36
'ADM', 1894.5, 1896.5, 1867.0, 231108.0, 1864.5, 30.0, 1.61, 5309.77
'AAL', 1753.4, 1761.4, 1717.4, 2336604.0, 1693.2, 60.2, 3.56, 23782.76
'ANTO', 890.0, 890.8, 871.2, 875530.0, 862.8, 27.2, 3.15, 8506.05
'AHT', 1943.0, 2004.0, 1881.5, 2337873.0, 2029.0, -86.0, -4.24, 10129.29
'AZN', 4841.5, 4861.5, 4820.0, 545424.0, 4800.0, 41.5, 0.86, 60750.75
'AV.', 504.4, 507.6, 503.8, 3150577.0, 501.0, 3.4, 0.68, 20096.14
'BA.', 586.8, 588.0, 576.8, 1457193.0, 572.4, 14.4, 2.52, 18222.0
'BARC', 211.65, 212.85, 209.2, 16770746.0, 207.2, 4.45, 2.15, 35286.56
'BDEV', 534.4, 542.8, 533.2, 1422767.0, 539.4, -5.0, -0.93, 5431.63
'BKG', 3783.0, 3832.0, 3769.0, 96061.0, 3788.0, -5.0, -0.13, 5129.53
'BLT', 1474.4, 1477.6, 1453.0, 3409323.0, 1437.0, 37.4, 2.6, 30339.14
'BP.', 474.6, 476.05, 473.0, 7516564.0, 470.15, 4.45, 0.95, 92515.44
'BATS', 4226.5, 4255.5, 4217.0, 1306483.0, 4221.0, 5.5, 0.13, 96992.13
'BLND', 632.4, 641.4, 632.2, 440410.0, 635.0, -2.6, -0.41, 6385.88
'BT.A', 238.65, 241.6, 238.55, 3711266.0, 238.4, 0.25, 0.1, 23745.81
'BNZL', 1979.0, 1982.0, 1963.5, 247080.0, 1963.0, 16.0, 0.82, 6589.25
'BRBY', 1664.5, 1689.0, 1657.0, 929277.0, 1650.5, 14.0, 0.85, 7049.01
'CCL', 4671.0, 4679.0, 4639.0, 232362.0, 4644.0, 27.0, 0.58, 9909.76
'CNA', 141.1, 143.55, 141.1, 5766679.0, 142.05, -0.95, -0.67, 7943.97
'CCH', 2405.0, 2405.0, 2385.0, 909977.0, 2385.0, 20.0, 0.84, 8684.4
'CPG', 1532.5, 1538.0, 1525.0, 829915.0, 1525.5, 7.0, 0.46, 24120.05
'CRH', 2461.0, 2498.0, 2461.0, 451250.0, 2461.0, 0.0, 0.0, 20569.18
'CRDA', 4568.0, 4586.0, 4502.0, 145154.0, 4449.0, 119.0, 2.67, 5845.67
'DCC', 6640.0, 6680.0, 6620.0, 31462.0, 6595.0, 45.0, 0.68, 5857.44
'DGE', 2410.0, 2422.0, 2408.0, 529359.0, 2402.0, 8.0, 0.33, 60465.24
'DLG', 381.7, 382.4, 378.8, 1160854.0, 377.7, 4.0, 1.06, 5193.38
'EZJ', 1574.0, 1615.0, 1565.5, 1049506.0, 1597.5, -23.5, -1.47, 6345.4
'EVR', 441.6, 445.8, 435.6, 1157830.0, 437.1, 4.5, 1.03, 6259.51
'EXPN', 1521.5, 1536.5, 1517.5, 907739.0, 1516.0, 5.5, 0.36, 14112.49
'FERG', 5134.0, 5188.0, 5112.0, 232741.0, 5134.0, 0.0, 0.0, 12985.89
