Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 943.0, 945.8, 934.6, 356469.0, 948.0, -5.0, -0.53
'ABF', 2639.0, 2667.0, 2635.0, 192282.0, 2661.0, -22.0, -0.83
'ADM', 1894.0, 2054.0, 1861.0, 1141250.0, 1931.0, -37.0, -1.92
'AAL', 1795.8, 1824.8, 1794.2, 1811984.0, 1842.0, -46.2, -2.51
'ANTO', 886.4, 900.2, 883.4, 868132.0, 905.8, -19.4, -2.14
'AHT', 2101.0, 2101.0, 2078.0, 466379.0, 2108.0, -7.0, -0.33
'AZN', 4806.5, 4844.0, 4788.0, 489734.0, 4795.0, 11.5, 0.24
'AV.', 505.2, 507.2, 502.0, 2062017.0, 506.0, -0.8, -0.16
'BA.', 579.0, 579.8, 567.6, 1244290.0, 572.6, 6.4, 1.12
'BARC', 214.4, 214.8, 210.9, 20434553.0, 212.0, 2.4, 1.13
'BDEV', 544.2, 547.8, 535.8, 2070870.0, 548.0, -3.8, -0.69
'BKG', 3882.0, 3903.0, 3828.0, 142154.0, 3892.0, -10.0, -0.26
'BLT', 1491.2, 1512.2, 1481.6, 2853077.0, 1525.0, -33.8, -2.22
'BP.', 479.3, 480.0, 475.1, 7831955.0, 478.2, 1.1, 0.23
'BATS', 4362.0, 4402.5, 4337.5, 1210990.0, 4397.5, -35.5, -0.81
'BLND', 631.0, 636.0, 626.8, 906104.0, 637.2, -6.2, -0.97
'BT.A', 243.2, 244.6, 240.8, 5651975.0, 243.25, -0.05, -0.02
'BNZL', 1964.0, 1970.5, 1958.5, 339906.0, 1969.5, -5.5, -0.28
'BRBY', 1539.0, 1543.0, 1527.0, 228028.0, 1538.0, 1.0, 0.07
'CCL', 4804.0, 4809.0, 4772.0, 164312.0, 4821.0, -17.0, -0.35
'CNA', 141.5, 142.3, 140.55, 4667284.0, 141.8, -0.3, -0.21
'CCH', 2407.0, 2445.0, 2397.0, 211360.0, 2442.0, -35.0, -1.43
