Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 913.6, 918.6, 903.8, 293730.0, 906.0, 7.6, 0.84, 8813.7
'ABF', 2593.0, 2625.0, 2592.0, 217131.0, 2607.0, -14.0, -0.54, 20638.95
'ADM', 1837.5, 1853.0, 1835.5, 140884.0, 1845.0, -7.5, -0.41, 5254.24
'AAL', 1695.2, 1710.6, 1664.6, 1668146.0, 1687.6, 7.6, 0.45, 23704.11
'ANTO', 853.4, 857.8, 839.8, 855364.0, 842.6, 10.8, 1.28, 8306.9
'AHT', 2030.0, 2049.0, 2010.0, 561650.0, 1998.5, 31.5, 1.58, 9977.03
'AZN', 4746.0, 4759.5, 4715.0, 571180.0, 4736.0, 10.0, 0.21, 59940.74
'AV.', 499.0, 500.8, 495.1, 2763662.0, 497.5, 1.5, 0.3, 19955.75
'BA.', 574.2, 578.6, 570.4, 1157482.0, 576.0, -1.8, -0.31, 18336.61
'BARC', 205.85, 207.2, 204.35, 12218220.0, 205.3, 0.55, 0.27, 34962.98
'BDEV', 540.2, 546.4, 530.8, 1608707.0, 532.4, 7.8, 1.47, 5361.14
'BKG', 3793.0, 3816.0, 3757.0, 147055.0, 3765.0, 28.0, 0.74, 5098.39
'BLT', 1426.6, 1432.8, 1404.6, 3097614.0, 1412.6, 14.0, 0.99, 29823.99
'BP.', 465.2, 468.75, 464.7, 7074468.0, 464.1, 1.1, 0.24, 91324.93
'BATS', 4194.0, 4222.5, 4175.0, 1166174.0, 4220.0, -26.0, -0.62, 96969.16
'BLND', 632.2, 634.6, 626.8, 780664.0, 627.6, 4.6, 0.73, 6311.47
'BT.A', 236.8, 238.9, 235.7, 4119438.0, 236.25, 0.55, 0.23, 23531.66
'BNZL', 1956.5, 1961.5, 1948.0, 256248.0, 1950.0, 6.5, 0.33, 6545.61
'BRBY', 1636.0, 1658.0, 1635.0, 539283.0, 1634.5, 1.5, 0.09, 6980.67
'CCL', 4637.0, 4653.0, 4603.0, 173419.0, 4621.0, 16.0, 0.35, 9860.68
'CNA', 141.95, 142.85, 140.5, 10296579.0, 141.4, 0.55, 0.39, 7907.62
'CCH', 2372.0, 2379.0, 2357.0, 130949.0, 2364.0, 8.0, 0.34, 8607.93
'CPG', 1522.0, 1530.5, 1520.5, 742112.0, 1524.0, -2.0, -0.13, 24096.33
'CRH', 2451.0, 2471.0, 2394.0, 609107.0, 2399.0, 52.0, 2.17, 20050.98
'CRDA', 4457.0, 4505.0, 4437.0, 103502.0, 4456.0, 1.0, 0.02, 5854.86
'DCC', 6565.0, 6605.0, 6505.0, 63898.0, 6515.0, 50.0, 0.77, 5786.39
'DGE', 2387.0, 2392.0, 2379.5, 820231.0, 2381.5, 5.5, 0.23, 59949.19
'DLG', 374.0, 374.6, 372.0, 992554.0, 373.8, 0.2, 0.05, 5139.75
'EZJ', 1574.0, 1605.5, 1571.0, 561900.0, 1577.0, -3.0, -0.19, 6263.97
'EVR', 436.9, 448.6, 435.6, 615614.0, 444.3, -7.4, -1.67, 6362.61
'EXPN', 1521.0, 1528.0, 1518.5, 274248.0, 1520.5, 0.5, 0.03, 14154.38
'FERG', 5126.0, 5152.0, 5086.0, 72499.0, 5098.0, 28.0, 0.55, 12894.84
'FRES', 1200.5, 1206.5, 1192.0, 286098.0, 1197.5, 3.0, 0.25, 8824.3
'GFS', 255.3, 256.8, 253.2, 807177.0, 254.3, 1.0, 0.39, 3945.7
'GKN', 422.3, 427.5, 416.9, 2340499.0, 420.0, 2.3, 0.55, 7212.75
'GSK', 1294.6, 1296.6, 1289.8, 1162285.0, 1290.0, 4.6, 0.36, 63434.88
'GLEN', 363.2, 368.9, 359.5, 12158216.0, 364.5, -1.3, -0.36, 52468.83
'HLMA', 1168.0, 1175.0, 1167.0, 379716.0, 1166.0, 2.0, 0.17, 4421.28
'HMSO', 447.7, 448.4, 444.4, 1451409.0, 447.9, -0.2, -0.04, 3552.69
'HL.', 1680.5, 1695.5, 1654.0, 327728.0, 1657.0, 23.5, 1.42, 7859.46
'HSBA', 700.7, 706.1, 700.6, 7138702.0, 705.0, -4.3, -0.61, 141347.75
'IMB', 2581.0, 2599.5, 2574.5, 444553.0, 2584.0, -3.0, -0.12, 24773.09
'INF', 698.4, 702.0, 696.2, 348588.0, 697.6, 0.8, 0.11, 5748.26
'IHG', 4473.0, 4504.0, 4441.0, 159930.0, 4454.0, 19.0, 0.43, 8462.16
'ITRK', 4875.0, 4894.0, 4853.0, 146905.0, 4873.0, 2.0, 0.04, 7864.56
'IAG', 613.4, 619.4, 612.8, 2030560.0, 615.0, -1.6, -0.26, 12620.44
'ITV', 152.55, 155.2, 152.25, 5058081.0, 153.9, -1.35, -0.88, 6195.1
'JMAT', 3045.0, 3080.0, 3027.0, 105290.0, 3030.0, 15.0, 0.5, 5864.06
'JE.', 855.0, 858.0, 843.2, 1270161.0, 849.0, 6.0, 0.71, 5765.06
'KGF', 348.4, 350.5, 347.5, 1294967.0, 347.8, 0.6, 0.17, 7537.43
'LAND', 913.1, 918.5, 911.4, 482391.0, 913.0, 0.1, 0.01, 6768.34
