Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 944.2, 945.8, 934.6, 380362.0, 948.0, -3.8, -0.4
'ABF', 2640.0, 2667.0, 2635.0, 202805.0, 2661.0, -21.0, -0.79
'ADM', 1895.5, 2054.0, 1861.0, 1234287.0, 1931.0, -35.5, -1.84
'AAL', 1797.2, 1824.8, 1792.4, 1878798.0, 1842.0, -44.8, -2.43
'ANTO', 886.8, 900.2, 883.4, 904168.0, 905.8, -19.0, -2.1
'AHT', 2106.0, 2106.0, 2078.0, 488911.0, 2108.0, -2.0, -0.09
'AZN', 4806.5, 4844.0, 4788.0, 514710.0, 4795.0, 11.5, 0.24
'AV.', 505.8, 507.2, 502.0, 2131876.0, 506.0, -0.2, -0.04
'BA.', 579.4, 579.8, 567.6, 1284812.0, 572.6, 6.8, 1.19
'BARC', 214.15, 214.8, 210.9, 21092280.0, 212.0, 2.15, 1.01
'BDEV', 543.8, 547.8, 535.8, 2126405.0, 548.0, -4.2, -0.77
'BKG', 3887.0, 3903.0, 3828.0, 147977.0, 3892.0, -5.0, -0.13
'BLT', 1491.0, 1512.2, 1481.6, 3006746.0, 1525.0, -34.0, -2.23
'BP.', 479.4, 480.0, 475.1, 8090360.0, 478.2, 1.2, 0.25
'BATS', 4371.5, 4402.5, 4337.5, 1267220.0, 4397.5, -26.0, -0.59
'BLND', 630.8, 636.0, 626.8, 960622.0, 637.2, -6.4, -1.0
'BT.A', 243.45, 244.6, 240.8, 5911287.0, 243.25, 0.2, 0.08
'BNZL', 1964.5, 1970.5, 1958.5, 357095.0, 1969.5, -5.0, -0.25
'BRBY', 1540.5, 1543.0, 1527.0, 247603.0, 1538.0, 2.5, 0.16
'CCL', 4804.0, 4809.0, 4772.0, 173365.0, 4821.0, -17.0, -0.35
'CNA', 142.1, 142.3, 140.55, 4839753.0, 141.8, 0.3, 0.21
'CCH', 2414.0, 2445.0, 2397.0, 219091.0, 2442.0, -28.0, -1.15
'CPG', 1553.5, 1553.5, 1542.5, 516776.0, 1550.0, 3.5, 0.23
'CRH', 2417.0, 2439.0, 2411.0, 453640.0, 2436.0, -19.0, -0.78
'CRDA', 4582.0, 4582.0, 4527.0, 82363.0, 4550.0, 32.0, 0.7
'DCC', 6690.0, 6730.0, 6675.0, 32663.0, 6735.0, -45.0, -0.67
'DGE', 2479.0, 2487.5, 2468.5, 2186244.0, 2479.0, 0.0, 0.0
'DLG', 387.2, 391.2, 385.9, 4314495.0, 387.9, -0.7, -0.18
'EZJ', 1684.0, 1695.0, 1663.5, 428950.0, 1679.0, 5.0, 0.3
'EVR', 431.7, 436.3, 425.8, 886125.0, 438.0, -6.3, -1.44
'EXPN', 1556.5, 1556.5, 1546.5, 271571.0, 1557.5, -1.0, -0.06
'FERG', 5160.0, 5216.0, 5138.0, 199554.0, 5186.0, -26.0, -0.5
'FRES', 1240.0, 1277.5, 1232.5, 375918.0, 1273.0, -33.0, -2.59
'GFS', 263.7, 263.8, 260.7, 649577.0, 265.6, -1.9, -0.72
'GKN', 435.4, 435.4, 428.0, 3210866.0, 430.7, 4.7, 1.09
'GSK', 1314.2, 1314.4, 1294.4, 2123316.0, 1303.8, 10.4, 0.8
'GLEN', 388.3, 393.5, 386.45, 12706646.0, 396.5, -8.2, -2.07
'HLMA', 1211.0, 1214.0, 1208.0, 140409.0, 1213.0, -2.0, -0.16
'HMSO', 450.4, 454.7, 448.0, 2078648.0, 455.7, -5.3, -1.16
'HL.', 1725.0, 1727.0, 1712.0, 141684.0, 1725.5, -0.5, -0.03
'HSBA', 722.5, 723.6, 714.3, 6917309.0, 719.2, 3.3, 0.46
'IMB', 2617.0, 2639.0, 2590.0, 796335.0, 2606.0, 11.0, 0.42
'INF', 693.2, 699.2, 675.4, 1269876.0, 686.0, 7.2, 1.05
'IHG', 4716.0, 4716.0, 4663.0, 113096.0, 4699.0, 17.0, 0.36
'ITRK', 4934.0, 4938.0, 4889.0, 75279.0, 4925.0, 9.0, 0.18
'IAG', 610.0, 610.0, 598.8, 2096637.0, 603.4, 6.6, 1.09
'ITV', 160.35, 169.75, 157.05, 28534114.0, 173.2, -12.85, -7.42
'JMAT', 3137.0, 3155.0, 3125.0, 163025.0, 3155.0, -18.0, -0.57
'JE.', 876.4, 879.6, 871.0, 541728.0, 875.0, 1.4, 0.16
'KGF', 360.2, 360.2, 350.0, 6465829.0, 362.5, -2.3, -0.63
'LAND', 927.3, 929.2, 915.7, 773857.0, 927.5, -0.2, -0.02
'LGEN', 264.9, 265.3, 262.6, 2869573.0, 263.4, 1.5, 0.57
'LLOY', 69.18, 69.2, 68.69, 31380874.0, 69.03, 0.15, 0.22
'LSE', 4070.0, 4076.0, 4009.0, 70330.0, 4054.0, 16.0, 0.39
'MKS', 298.7, 299.4, 295.9, 714059.0, 300.0, -1.3, -0.43
'MDC', 596.8, 604.6, 594.0, 753832.0, 607.2, -10.4, -1.71
'MCRO', 2064.0, 2074.0, 2052.0, 324300.0, 2060.0, 4.0, 0.19
'MNDI', 1897.0, 1897.0, 1872.0, 425744.0, 1893.5, 3.5, 0.18
'MRW', 225.6, 226.2, 222.2, 1862226.0, 224.9, 0.7, 0.31
'NG.', 751.8, 754.6, 745.7, 2531215.0, 756.5, -4.7, -0.62
'NXT', 4884.0, 4909.0, 4860.0, 80943.0, 4912.0, -28.0, -0.57
'NMC', 3468.0, 3506.0, 3468.0, 72282.0, 3516.0, -48.0, -1.37
'OML', 257.0, 258.0, 255.4, 3038632.0, 257.8, -0.8, -0.31
'PPB', 8540.0, 8575.0, 8500.0, 113335.0, 8585.0, -45.0, -0.52
'PSON', 729.6, 729.6, 720.0, 1093417.0, 727.0, 2.6, 0.36
'PSN', 2610.0, 2630.0, 2555.0, 1154680.0, 2604.0, 6.0, 0.23
'PRU', 1849.0, 1849.5, 1828.5, 954946.0, 1841.0, 8.0, 0.43
'RRS', 5882.0, 5942.0, 5816.0, 314463.0, 5948.0, -66.0, -1.11
'RDSA', 2308.5, 2312.5, 2287.5, 1334557.0, 2302.5, 6.0, 0.26
'RDSB', 2329.0, 2331.5, 2299.0, 1088063.0, 2316.5, 12.5, 0.54
'RB.', 5795.0, 5883.0, 5772.0, 552184.0, 5841.0, -46.0, -0.79
'REL', 1493.0, 1496.5, 1480.0, 959474.0, 1491.0, 2.0, 0.13
'RTO', 291.5, 291.6, 288.2, 2605565.0, 292.1, -0.6, -0.21
'RIO', 3940.0, 4017.5, 3916.5, 1884542.0, 4047.5, -107.5, -2.66
'RR.', 851.4, 852.4, 846.0, 522879.0, 852.4, -1.0, -0.12
'RBS', 268.8, 270.3, 267.9, 4660817.0, 270.4, -1.6, -0.59
'RSA', 635.0, 635.0, 630.6, 876503.0, 633.6, 1.4, 0.22
'SGE', 695.2, 696.0, 687.6, 633010.0, 692.2, 3.0, 0.43
'SBRY', 259.9, 260.5, 255.3, 2158111.0, 257.7, 2.2, 0.85
'SDR', 3473.0, 3488.0, 3451.0, 85582.0, 3471.0, 2.0, 0.06
'SMT', 464.6, 467.4, 462.0, 665648.0, 467.0, -2.4, -0.51
'SGRO', 564.8, 574.4, 563.4, 775142.0, 575.2, -10.4, -1.81
'SVT', 1735.5, 1757.5, 1723.0, 202640.0, 1757.5, -22.0, -1.25
'SHP', 3090.5, 3125.0, 3028.0, 746644.0, 3054.0, 36.5, 1.2
'SKY', 1330.5, 1340.5, 1320.0, 2222222.0, 1331.5, -1.0, -0.08
'SN.', 1282.0, 1283.5, 1277.5, 386324.0, 1284.0, -2.0, -0.16
'SMDS', 482.0, 482.3, 480.0, 434084.0, 483.0, -1.0, -0.21
'SMIN', 1603.5, 1603.5, 1587.5, 149304.0, 1600.0, 3.5, 0.22
'SKG', 2524.0, 2528.0, 2498.0, 91651.0, 2528.0, -4.0, -0.16
'SSE', 1237.0, 1239.5, 1228.5, 842837.0, 1241.0, -4.0, -0.32
'STJ', 1163.0, 1173.0, 1113.5, 962533.0, 1125.5, 37.5, 3.33
'STAN', 815.8, 825.0, 810.4, 2315601.0, 839.0, -23.2, -2.77
'SLA', 373.4, 374.5, 370.7, 1851680.0, 374.0, -0.6, -0.16
'TW.', 189.3, 190.35, 181.2, 16124774.0, 193.75, -4.45, -2.3
'TSCO', 214.6, 214.8, 205.6, 17561883.0, 207.1, 7.5, 3.62
'TUI', 1544.0, 1551.0, 1535.0, 353457.0, 1553.0, -9.0, -0.58
'ULVR', 3758.0, 3758.0, 3728.0, 639105.0, 3752.0, 6.0, 0.16
'UU.', 675.0, 682.6, 668.8, 655485.0, 681.6, -6.6, -0.97
'VOD', 204.4, 204.4, 202.95, 10587972.0, 204.8, -0.4, -0.2
'WTB', 3924.0, 3930.0, 3894.0, 64637.0, 3928.0, -4.0, -0.1
'WPP', 1386.0, 1395.0, 1364.5, 1087138.0, 1374.0, 12.0, 0.87
