Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 916.2, 920.4, 903.8, 549670.0, 906.0, 10.2, 1.13, 8813.7
'ABF', 2595.0, 2625.0, 2584.0, 573697.0, 2607.0, -12.0, -0.46, 20638.95
'ADM', 1860.5, 1865.0, 1834.0, 363073.0, 1845.0, 15.5, 0.84, 5254.24
'AAL', 1679.4, 1710.6, 1664.6, 2626230.0, 1687.6, -8.2, -0.49, 23704.11
'ANTO', 850.8, 857.8, 839.8, 1732444.0, 842.6, 8.2, 0.97, 8306.9
'AHT', 2015.0, 2049.0, 2010.0, 1091440.0, 1998.5, 16.5, 0.83, 9977.03
'AZN', 4778.0, 4784.0, 4715.0, 1340884.0, 4736.0, 42.0, 0.89, 59940.74
'AV.', 497.0, 500.8, 495.1, 5167847.0, 497.5, -0.5, -0.1, 19955.75
'BA.', 572.6, 578.6, 570.4, 2375954.0, 576.0, -3.4, -0.59, 18336.61
'BARC', 204.35, 207.2, 204.1, 53645733.0, 205.3, -0.95, -0.46, 34962.98
'BDEV', 536.4, 546.4, 530.8, 2331758.0, 532.4, 4.0, 0.75, 5361.14
'BKG', 3781.0, 3816.0, 3757.0, 229165.0, 3765.0, 16.0, 0.42, 5098.39
'BLT', 1420.6, 1432.8, 1404.6, 5711694.0, 1412.6, 8.0, 0.57, 29823.99
'BP.', 466.5, 468.75, 463.9, 23891899.0, 464.1, 2.4, 0.52, 91324.93
'BATS', 4197.5, 4222.5, 4162.5, 1914647.0, 4220.0, -22.5, -0.53, 96969.16
'BLND', 633.2, 634.8, 626.8, 1162928.0, 627.6, 5.6, 0.89, 6311.47
'BT.A', 238.0, 238.9, 235.7, 8364834.0, 236.25, 1.75, 0.74, 23531.66
'BNZL', 1960.5, 1962.5, 1948.0, 477446.0, 1950.0, 10.5, 0.54, 6545.61
'BRBY', 1639.0, 1658.0, 1633.5, 994354.0, 1634.5, 4.5, 0.28, 6980.67
'CCL', 4623.0, 4653.0, 4603.0, 480195.0, 4621.0, 2.0, 0.04, 9860.68
'CNA', 141.45, 142.85, 140.5, 28921402.0, 141.4, 0.05, 0.04, 7907.62
