Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 945.8, 953.0, 937.6, 976497.0, 945.6, 0.2, 0.02
'ABF', 2692.0, 2736.0, 2684.0, 503115.0, 2726.0, -34.0, -1.25
'ADM', 1912.0, 1949.0, 1904.0, 336385.0, 1934.0, -22.0, -1.14
'AAL', 1861.0, 1870.0, 1828.8, 2602558.0, 1843.6, 17.4, 0.94
'ANTO', 921.6, 927.4, 910.2, 1194545.0, 912.0, 9.6, 1.05
'AHT', 2104.0, 2112.0, 2073.0, 736621.0, 2070.0, 34.0, 1.64
'AZN', 4805.0, 4838.5, 4787.0, 666054.0, 4813.5, -8.5, -0.18
'AV.', 503.8, 505.8, 500.4, 2329766.0, 502.0, 1.8, 0.36
'BA.', 576.8, 580.4, 570.6, 4667373.0, 577.6, -0.8, -0.14
'BARC', 210.4, 212.05, 209.2, 22432429.0, 208.5, 1.9, 0.91
'BDEV', 555.6, 568.4, 552.0, 4423959.0, 551.2, 4.4, 0.8
'BKG', 3926.0, 3988.0, 3890.0, 373883.0, 3862.0, 64.0, 1.66
'BLT', 1535.6, 1548.8, 1527.0, 2658074.0, 1542.4, -6.8, -0.44
'BP.', 479.35, 482.6, 478.0, 9620278.0, 480.85, -1.5, -0.31
'BATS', 4446.0, 4480.5, 4434.0, 1302478.0, 4464.5, -18.5, -0.41
'BLND', 641.8, 653.0, 639.4, 1028159.0, 650.2, -8.4, -1.29
'BT.A', 242.6, 244.55, 240.9, 7854816.0, 242.8, -0.2, -0.08
'BNZL', 1978.5, 1985.5, 1960.0, 986090.0, 1975.0, 3.5, 0.18
'BRBY', 1548.5, 1556.5, 1541.5, 359240.0, 1546.5, 2.0, 0.13
'CCL', 4853.0, 4856.0, 4803.0, 244270.0, 4829.0, 24.0, 0.5
'CNA', 142.6, 144.65, 141.0, 12801599.0, 143.9, -1.3, -0.9
'CCH', 2466.0, 2492.0, 2448.0, 481173.0, 2472.0, -6.0, -0.24
'CPG', 1552.0, 1558.0, 1547.0, 1261708.0, 1552.5, -0.5, -0.03
'CRH', 2447.0, 2490.0, 2439.0, 551599.0, 2473.0, -26.0, -1.05
'CRDA', 4508.0, 4604.0, 4445.0, 151492.0, 4548.0, -40.0, -0.88
'DCC', 6740.0, 6845.0, 6715.0, 66516.0, 6815.0, -75.0, -1.1
'DGE', 2494.5, 2504.5, 2481.5, 1945103.0, 2487.0, 7.5, 0.3
'DLG', 384.8, 397.0, 380.3, 4877125.0, 388.6, -3.8, -0.98
'EZJ', 1683.5, 1692.5, 1644.5, 907846.0, 1664.5, 19.0, 1.14
'EVR', 438.7, 440.5, 424.0, 1518146.0, 425.9, 12.8, 3.01
'EXPN', 1561.5, 1585.5, 1555.0, 432960.0, 1575.0, -13.5, -0.86
'FERG', 5208.0, 5252.0, 5144.0, 317345.0, 5218.0, -10.0, -0.19
'FRES', 1309.5, 1319.0, 1262.5, 764866.0, 1332.0, -22.5, -1.69
'GFS', 265.3, 266.6, 263.0, 1819233.0, 262.9, 2.4, 0.91
'GKN', 429.1, 431.0, 420.0, 2578668.0, 430.0, -0.9, -0.21
'GSK', 1307.6, 1310.4, 1295.4, 3256670.0, 1301.0, 6.6, 0.51
'GLEN', 399.65, 403.3, 396.05, 17601096.0, 401.4, -1.75, -0.44
'HLMA', 1216.0, 1232.0, 1207.0, 419688.0, 1228.0, -12.0, -0.98
'HMSO', 457.6, 468.6, 455.8, 3262849.0, 465.8, -8.2, -1.76
'HL.', 1724.0, 1749.5, 1721.0, 374025.0, 1734.0, -10.0, -0.58
'HSBA', 717.5, 722.8, 715.1, 7815881.0, 721.4, -3.9, -0.54
'IMB', 2626.5, 2658.5, 2626.0, 743241.0, 2634.5, -8.0, -0.3
'INF', 690.0, 692.4, 687.6, 1393250.0, 686.8, 3.2, 0.47
'IHG', 4691.0, 4695.0, 4648.0, 296611.0, 4645.0, 46.0, 0.99
'ITRK', 4945.0, 4958.0, 4901.0, 152168.0, 4910.0, 35.0, 0.71
'IAG', 605.8, 608.4, 602.8, 2961169.0, 602.8, 3.0, 0.5
'ITV', 174.95, 176.2, 173.4, 8745062.0, 171.45, 3.5, 2.04
'JMAT', 3166.0, 3188.0, 3095.0, 507116.0, 3152.0, 14.0, 0.44
'JE.', 875.2, 879.0, 869.4, 1140732.0, 872.6, 2.6, 0.3
'KGF', 363.0, 364.2, 360.2, 3828345.0, 360.3, 2.7, 0.75
'LAND', 933.9, 948.0, 930.2, 749361.0, 943.2, -9.3, -0.99
'LGEN', 263.0, 265.1, 262.3, 4488563.0, 262.3, 0.7, 0.27
'LLOY', 68.84, 69.16, 68.56, 62831844.0, 68.55, 0.29, 0.42
'LSE', 4080.0, 4111.0, 4052.0, 153507.0, 4084.0, -4.0, -0.1
'MKS', 299.3, 302.7, 296.5, 1952538.0, 300.3, -1.0, -0.33
'MDC', 606.6, 611.0, 599.6, 499170.0, 600.0, 6.6, 1.1
'MCRO', 2064.0, 2077.0, 2053.0, 436156.0, 2062.0, 2.0, 0.1
'MNDI', 1898.0, 1906.5, 1885.0, 447706.0, 1885.5, 12.5, 0.66
'MRW', 225.2, 226.9, 224.3, 2580640.0, 224.8, 0.4, 0.18
'NG.', 761.5, 768.0, 754.8, 3406719.0, 765.7, -4.2, -0.55
'NXT', 4912.0, 4959.0, 4883.0, 114375.0, 4930.0, -18.0, -0.37
'NMC', 3546.0, 3548.0, 3464.0, 143325.0, 3524.0, 22.0, 0.62
'OML', 257.3, 258.5, 256.0, 4389767.0, 254.8, 2.5, 0.98
'PPB', 8565.0, 8565.0, 8450.0, 186544.0, 8500.0, 65.0, 0.76
'PSON', 725.6, 726.0, 698.8, 2111590.0, 714.0, 11.6, 1.62
'PSN', 2678.0, 2822.0, 2663.0, 2652646.0, 2488.0, 190.0, 7.64
'PRU', 1838.0, 1863.0, 1831.0, 1874420.0, 1839.0, -1.0, -0.05
'RRS', 6016.0, 6114.0, 5986.0, 250444.0, 6090.0, -74.0, -1.22
'RDSA', 2294.0, 2296.5, 2278.5, 2194053.0, 2278.5, 15.5, 0.68
'RDSB', 2322.5, 2328.5, 2309.5, 1811194.0, 2314.0, 8.5, 0.37
