Ticker, Price, High, Low, Volume
'III', 905.0, 910.4, 898.4, 2473434.0
'ABF', 2662.0, 2677.0, 2628.0, 773636.0
'ADM', 1906.0, 1910.5, 1890.0, 580025.0
'AAL', 1748.6, 1752.8, 1722.0, 6681384.0
'ANTO', 914.6, 941.8, 911.0, 3243105.0
'AHT', 2031.0, 2038.0, 2014.0, 1304642.0
'AZN', 4739.5, 4759.0, 4718.5, 2359534.0
'AV.', 496.6, 498.4, 493.3, 7520215.0
'BA.', 597.8, 598.4, 591.4, 8846048.0
'BARC', 200.05, 200.2, 197.86, 52709789.0
'BDEV', 551.8, 554.8, 546.6, 3380359.0
'BKG', 3800.0, 3828.0, 3779.0, 465933.0
'BLT', 1577.4, 1614.2, 1577.4, 12214154.0
'BP.', 473.4, 474.65, 470.3, 32980047.0
'BATS', 4451.5, 4463.0, 4416.5, 3153620.0
'BLND', 649.0, 650.2, 636.8, 5506706.0
'BT.A', 228.4, 229.6, 225.7, 18256353.0
'BNZL', 2034.0, 2058.0, 2033.0, 960249.0
'BRBY', 1552.0, 1565.0, 1544.0, 1291897.0
'CCL', 4811.0, 4876.0, 4795.0, 1459374.0
'CNA', 128.15, 129.05, 127.35, 20090330.0
'CCH', 2459.0, 2478.0, 2400.0, 1378123.0
'CPG', 1547.5, 1556.0, 1540.5, 3577165.0
'CRH', 2482.0, 2528.0, 2482.0, 2092027.0
'CRDA', 4453.0, 4478.0, 4406.0, 393251.0
'DCC', 6705.0, 6770.0, 6705.0, 218786.0
'DGE', 2505.0, 2511.5, 2479.0, 3977697.0
'DLG', 385.8, 387.7, 383.4, 3714157.0
'EZJ', 1647.0, 1672.0, 1641.5, 2081208.0
'EVR', 394.6, 397.1, 382.8, 3566960.0
'EXPN', 1557.0, 1562.0, 1548.0, 1381437.0
'FERG', 5216.0, 5248.0, 5194.0, 663301.0
'FRES', 1400.0, 1432.0, 1391.0, 1969407.0
'GFS', 258.7, 259.1, 256.7, 3442585.0
'GKN', 416.5, 420.2, 413.6, 8125249.0
'GSK', 1318.6, 1322.2, 1302.8, 10448913.0
'GLEN', 388.0, 392.5, 384.7, 34730472.0
'HLMA', 1223.0, 1224.0, 1209.0, 878576.0
'HMSO', 462.7, 466.4, 457.4, 3524033.0
'HL.', 1682.0, 1685.0, 1661.5, 1544604.0
'HSBA', 760.8, 761.9, 754.0, 29015502.0
'IMB', 2657.5, 2681.5, 2640.0, 2357466.0
'INF', 689.0, 690.4, 677.0, 3271657.0
'IHG', 4703.0, 4772.0, 4703.0, 733934.0
'ITRK', 4993.0, 5012.0, 4965.0, 329027.0
'IAG', 608.0, 611.8, 602.6, 6270638.0
'ITV', 171.95, 172.35, 169.1, 13954986.0
'JMAT', 3226.0, 3279.0, 3214.0, 620505.0
'JE.', 890.0, 906.0, 886.2, 3002331.0
'KGF', 359.0, 362.5, 357.9, 9026482.0
'LAND', 943.8, 947.1, 930.8, 3069708.0
'LGEN', 256.8, 256.9, 253.4, 21486918.0
'LLOY', 67.73, 68.0, 67.26, 107058310.0
'LSE', 4050.0, 4090.0, 4042.0, 908400.0
'MKS', 298.8, 300.0, 293.5, 5242827.0
'MDC', 583.0, 584.6, 574.2, 1209552.0
'MCRO', 2118.0, 2127.0, 2085.0, 1345686.0
'MNDI', 1863.0, 1868.5, 1834.5, 1163095.0
'MRW', 220.8, 222.5, 218.5, 6475444.0
'NG.', 749.6, 753.2, 745.6, 9264756.0
'NXT', 4921.0, 4931.0, 4843.0, 527288.0
'NMC', 3424.0, 3446.0, 3248.0, 404329.0
'OML', 246.4, 249.1, 243.2, 11703328.0
'PPB', 8295.0, 8335.0, 8265.0, 90630.0
'PSON', 700.6, 701.6, 681.6, 6597854.0
'PSN', 2423.0, 2457.0, 2410.0, 800256.0
'PRU', 1839.0, 1848.0, 1826.0, 3984047.0
'RRS', 6306.0, 6480.0, 6280.0, 615897.0
'RDSA', 2263.0, 2279.0, 2249.5, 4431490.0
'RDSB', 2288.5, 2303.5, 2272.5, 4315993.0
'RB.', 6568.0, 6583.0, 6409.0, 1916874.0
'REL', 1491.0, 1500.5, 1465.0, 6983762.0
'RTO', 290.4, 291.3, 289.1, 4741873.0
'RIO', 4102.0, 4152.0, 4087.5, 4973954.0
'RR.', 832.2, 848.2, 829.2, 5956936.0
'RBS', 275.4, 276.7, 273.8, 13771205.0
'RSA', 610.4, 611.4, 605.6, 2032716.0
'SGE', 700.2, 705.6, 697.0, 5094171.0
'SBRY', 250.9, 251.6, 247.9, 7340595.0
'SDR', 3416.0, 3431.0, 3388.0, 523387.0
'SMT', 458.4, 458.4, 454.0, 4052838.0
'SGRO', 591.2, 594.8, 570.0, 4098903.0
'SVT', 1738.0, 1756.5, 1708.5, 1368590.0
'SHP', 3202.0, 3237.0, 3179.5, 3415555.0
'SKY', 1101.0, 1101.0, 1088.0, 3088462.0
'SN.', 1279.5, 1286.5, 1274.0, 2330760.0
'SMDS', 483.7, 487.6, 482.7, 2475645.0
'SMIN', 1589.0, 1595.0, 1579.5, 991016.0
'SKG', 2610.0, 2610.0, 2552.0, 662818.0
'SSE', 1200.0, 1203.5, 1194.5, 3738751.0
'STJ', 1125.0, 1132.5, 1121.5, 1498082.0
'STAN', 821.5, 827.6, 819.5, 5410827.0
'SLA', 364.2, 369.0, 361.0, 12109062.0
'TW.', 187.8, 188.15, 186.4, 7068617.0
'TSCO', 204.6, 206.0, 202.9, 42742159.0
'TUI', 1554.0, 1554.5, 1527.5, 1812921.0
'ULVR', 3801.5, 3834.0, 3787.0, 2343529.0
'UU.', 669.4, 673.6, 660.2, 2505857.0
'VOD', 204.65, 205.25, 201.05, 104533755.0
'WTB', 3950.0, 3979.0, 3874.0, 649109.0
'WPP', 1471.0, 1474.0, 1416.0, 10828174.0
