Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 917.0, 917.0, 903.8, 190238.0, 906.0, 11.0, 1.21, 8813.7
'ABF', 2604.0, 2625.0, 2597.0, 160395.0, 2607.0, -3.0, -0.12, 20638.95
'ADM', 1845.0, 1853.0, 1835.5, 90798.0, 1845.0, 0.0, 0.0, 5254.24
'AAL', 1707.0, 1709.0, 1664.6, 1226819.0, 1687.6, 19.4, 1.15, 23704.11
'ANTO', 853.8, 857.8, 839.8, 673251.0, 842.6, 11.2, 1.33, 8306.9
'AHT', 2046.0, 2047.0, 2010.0, 398377.0, 1998.5, 47.5, 2.38, 9977.03
'AZN', 4741.5, 4759.5, 4715.0, 437088.0, 4736.0, 5.5, 0.12, 59940.74
'AV.', 500.2, 500.6, 495.1, 1966973.0, 497.5, 2.7, 0.54, 19955.75
'BA.', 578.2, 578.4, 570.4, 763989.0, 576.0, 2.2, 0.38, 18336.61
'BARC', 206.5, 207.2, 204.35, 9939669.0, 205.3, 1.2, 0.58, 34962.98
'BDEV', 545.8, 546.2, 530.8, 1060584.0, 532.4, 13.4, 2.52, 5361.14
'BKG', 3811.0, 3816.0, 3757.0, 107996.0, 3765.0, 46.0, 1.22, 5098.39
'BLT', 1428.2, 1432.6, 1404.6, 2448298.0, 1412.6, 15.6, 1.1, 29823.99
'BP.', 467.2, 468.75, 464.7, 4721584.0, 464.1, 3.1, 0.67, 91324.93
'BATS', 4182.5, 4222.5, 4176.0, 941043.0, 4220.0, -37.5, -0.89, 96969.16
'BLND', 633.6, 634.2, 626.8, 517735.0, 627.6, 6.0, 0.96, 6311.47
'BT.A', 237.7, 238.9, 235.7, 2920264.0, 236.25, 1.45, 0.61, 23531.66
'BNZL', 1959.5, 1959.5, 1948.0, 151430.0, 1950.0, 9.5, 0.49, 6545.61
'BRBY', 1654.0, 1658.0, 1639.0, 326373.0, 1634.5, 19.5, 1.19, 6980.67
'CCL', 4642.0, 4642.0, 4603.0, 114672.0, 4621.0, 21.0, 0.45, 9860.68
'CNA', 142.3, 142.3, 140.5, 7298976.0, 141.4, 0.9, 0.64, 7907.62
'CCH', 2376.0, 2379.0, 2357.0, 67520.0, 2364.0, 12.0, 0.51, 8607.93
'CPG', 1525.0, 1530.5, 1520.5, 614948.0, 1524.0, 1.0, 0.07, 24096.33
'CRH', 2453.0, 2453.0, 2394.0, 379651.0, 2399.0, 54.0, 2.25, 20050.98
'CRDA', 4493.0, 4504.0, 4437.0, 60816.0, 4456.0, 37.0, 0.83, 5854.86
'DCC', 6585.0, 6605.0, 6505.0, 48518.0, 6515.0, 70.0, 1.07, 5786.39
'DGE', 2386.0, 2392.0, 2379.5, 593397.0, 2381.5, 4.5, 0.19, 59949.19
'DLG', 373.9, 374.6, 372.0, 640244.0, 373.8, 0.1, 0.03, 5139.75
'EZJ', 1587.5, 1605.5, 1571.0, 388343.0, 1577.0, 10.5, 0.67, 6263.97
'EVR', 441.7, 448.6, 441.1, 369800.0, 444.3, -2.6, -0.59, 6362.61
'EXPN', 1525.5, 1527.5, 1518.5, 159437.0, 1520.5, 5.0, 0.33, 14154.38
'FERG', 5144.0, 5146.0, 5086.0, 47713.0, 5098.0, 46.0, 0.9, 12894.84
'FRES', 1199.0, 1206.5, 1192.0, 187881.0, 1197.5, 1.5, 0.13, 8824.3
'GFS', 255.1, 256.8, 253.2, 453203.0, 254.3, 0.8, 0.31, 3945.7
'GKN', 423.9, 427.5, 416.9, 1636298.0, 420.0, 3.9, 0.93, 7212.75
'GSK', 1295.4, 1295.6, 1289.8, 753668.0, 1290.0, 5.4, 0.42, 63434.88
'GLEN', 365.65, 368.9, 359.5, 8839369.0, 364.5, 1.15, 0.32, 52468.83
'HLMA', 1172.0, 1175.0, 1167.0, 285632.0, 1166.0, 6.0, 0.51, 4421.28
'HMSO', 446.8, 448.3, 444.4, 1059146.0, 447.9, -1.1, -0.25, 3552.69
'HL.', 1693.0, 1694.0, 1654.0, 187041.0, 1657.0, 36.0, 2.17, 7859.46
'HSBA', 702.6, 706.1, 701.6, 4832743.0, 705.0, -2.4, -0.34, 141347.75
'IMB', 2583.0, 2599.5, 2579.0, 304685.0, 2584.0, -1.0, -0.04, 24773.09
'INF', 701.4, 702.0, 696.2, 200618.0, 697.6, 3.8, 0.54, 5748.26
'IHG', 4492.0, 4504.0, 4441.0, 115214.0, 4454.0, 38.0, 0.85, 8462.16
'ITRK', 4877.0, 4894.0, 4853.0, 118446.0, 4873.0, 4.0, 0.08, 7864.56
'IAG', 615.2, 619.4, 613.4, 1312164.0, 615.0, 0.2, 0.03, 12620.44
'ITV', 152.8, 155.2, 152.7, 3228478.0, 153.9, -1.1, -0.71, 6195.1
'JMAT', 3072.0, 3075.0, 3027.0, 68160.0, 3030.0, 42.0, 1.39, 5864.06
'JE.', 852.2, 854.0, 843.2, 931511.0, 849.0, 3.2, 0.38, 5765.06
'KGF', 349.2, 350.5, 347.5, 793212.0, 347.8, 1.4, 0.4, 7537.43
'LAND', 914.2, 916.7, 911.4, 331864.0, 913.0, 1.2, 0.13, 6768.34
'LGEN', 255.1, 255.3, 252.6, 2890463.0, 253.4, 1.7, 0.67, 15090.63
'LLOY', 67.1, 67.3, 66.6, 35471116.0, 67.0, 0.1, 0.15, 47878.18
'LSE', 3867.0, 3901.0, 3837.0, 112660.0, 3837.0, 30.0, 0.78, 13389.88
'MKS', 288.3, 289.5, 287.0, 1230304.0, 286.7, 1.6, 0.56, 4658.09
'MDC', 569.6, 578.6, 568.0, 462458.0, 574.4, -4.8, -0.84, 4234.73
'MCRO', 1991.5, 2002.0, 1985.0, 181925.0, 1988.0, 3.5, 0.18, 8652.52
'MNDI', 1951.5, 1971.5, 1912.0, 561756.0, 1911.0, 40.5, 2.12, 7017.97
'MRW', 224.9, 227.3, 224.4, 1619089.0, 222.7, 2.2, 0.99, 5201.42
'NG.', 740.6, 742.6, 737.6, 1439895.0, 739.2, 1.4, 0.19, 25067.81
'NXT', 4740.0, 4757.0, 4690.0, 109751.0, 4680.0, 60.0, 1.28, 6882.25
'NMC', 3384.0, 3396.0, 3324.0, 116329.0, 3332.0, 52.0, 1.56, 6806.8
'OML', 247.8, 248.3, 245.5, 1709592.0, 246.0, 1.8, 0.73, 12127.73
'PPB', 8290.0, 8340.0, 8205.0, 35611.0, 8295.0, -5.0, -0.06, 6984.38
'PSON', 724.6, 725.4, 718.2, 368734.0, 718.8, 5.8, 0.81, 5834.97
'PSN', 2668.0, 2672.0, 2583.0, 435830.0, 2584.0, 84.0, 3.25, 7974.02
'PRU', 1796.5, 1798.5, 1776.5, 420852.0, 1790.5, 6.0, 0.34, 46297.08
'RRS', 5920.0, 5976.0, 5914.0, 85540.0, 5940.0, -20.0, -0.34, 5582.68
'RDSA', 2260.0, 2272.0, 2243.5, 1165859.0, 2249.5, 10.5, 0.47, 102226.61
'RDSB', 2284.0, 2301.5, 2274.5, 917389.0, 2279.5, 4.5, 0.2, 85378.37
'RB.', 5643.0, 5700.0, 5640.0, 310499.0, 5690.0, -47.0, -0.83, 39865.56
'REL', 1474.0, 1477.0, 1460.5, 823530.0, 1467.5, 6.5, 0.44, 15749.9
'RTO', 268.5, 276.5, 268.4, 1180688.0, 272.5, -4.0, -1.47, 5006.73
'RIO', 3690.0, 3708.0, 3632.0, 1444741.0, 3638.5, 51.5, 1.42, 49660.55
'RR.', 818.0, 821.6, 800.2, 1329039.0, 817.4, 0.6, 0.07, 15041.28
'RBS', 261.5, 262.2, 257.0, 4632414.0, 257.6, 3.9, 1.51, 30592.21
'RSA', 613.8, 616.4, 612.6, 520534.0, 613.4, 0.4, 0.07, 6258.4
'SGE', 672.4, 672.4, 661.0, 321703.0, 662.0, 10.4, 1.57, 7155.36
'SBRY', 254.4, 256.4, 253.9, 642092.0, 253.0, 1.4, 0.55, 5537.92
'SDR', 3374.0, 3374.0, 3343.0, 53083.0, 3347.0, 27.0, 0.81, 7564.06
'SMT', 457.6, 457.8, 448.4, 898086.0, 451.2, 6.4, 1.42, 6298.84
'SGRO', 580.6, 582.0, 574.0, 362777.0, 572.2, 8.4, 1.47, 5712.26
'SVT', 1733.0, 1738.0, 1715.5, 190880.0, 1722.0, 11.0, 0.64, 4062.6
'SHP', 3174.0, 3215.0, 3159.0, 462573.0, 3205.5, -31.5, -0.98, 29077.75
'SKY', 1371.5, 1375.0, 1370.0, 680212.0, 1373.5, -2.0, -0.15, 23610.7
'SN.', 1276.5, 1279.5, 1269.5, 306347.0, 1264.0, 12.5, 0.99, 11061.48
'SMDS', 476.6, 477.2, 459.4, 924041.0, 459.8, 16.8, 3.65, 4910.14
'SMIN', 1573.0, 1574.5, 1552.0, 107129.0, 1552.5, 20.5, 1.32, 6139.5
'SKG', 2514.0, 2516.0, 2450.0, 465982.0, 2430.0, 84.0, 3.46, 5754.42
'SSE', 1213.0, 1217.5, 1211.0, 403562.0, 1214.0, -1.0, -0.08, 12385.67
'STJ', 1122.0, 1122.5, 1103.5, 276542.0, 1108.5, 13.5, 1.22, 5857.27
'STAN', 778.0, 783.2, 775.7, 1927245.0, 780.0, -2.0, -0.26, 25664.57
'SLA', 365.5, 368.6, 364.4, 881493.0, 366.2, -0.7, -0.19, 10902.05
'TW.', 189.65, 189.75, 185.4, 3674293.0, 186.05, 3.6, 1.93, 6087.13
'TSCO', 203.3, 206.4, 202.6, 10022399.0, 202.0, 1.3, 0.64, 16514.69
'TUI', 1517.0, 1523.5, 1505.5, 163546.0, 1518.0, -1.0, -0.07, 8911.24
'ULVR', 3722.0, 3731.0, 3696.0, 369534.0, 3712.5, 9.5, 0.26, 45970.69
'UU.', 667.6, 670.2, 663.6, 513754.0, 662.8, 4.8, 0.72, 4519.56
'VOD', 201.1, 201.5, 199.14, 7259573.0, 199.02, 2.08, 1.05, 52985.67
'WTB', 3819.0, 3825.0, 3791.0, 47029.0, 3799.0, 20.0, 0.53, 6966.83
'WPP', 1262.5, 1268.5, 1256.0, 1057541.0, 1266.0, -3.5, -0.28, 15997.28
