Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 916.4, 920.4, 903.8, 442249.0, 906.0, 10.4, 1.15, 8813.7
'ABF', 2591.0, 2625.0, 2584.0, 446626.0, 2607.0, -16.0, -0.61, 20638.95
'ADM', 1846.5, 1853.0, 1834.0, 284879.0, 1845.0, 1.5, 0.08, 5254.24
'AAL', 1676.6, 1710.6, 1664.6, 2082099.0, 1687.6, -11.0, -0.65, 23704.11
'ANTO', 848.0, 857.8, 839.8, 1137071.0, 842.6, 5.4, 0.64, 8306.9
'AHT', 2028.0, 2049.0, 2010.0, 888187.0, 1998.5, 29.5, 1.48, 9977.03
'AZN', 4757.0, 4781.0, 4715.0, 1175049.0, 4736.0, 21.0, 0.44, 59940.74
'AV.', 497.0, 500.8, 495.1, 3996712.0, 497.5, -0.5, -0.1, 19955.75
'BA.', 573.6, 578.6, 570.4, 1835713.0, 576.0, -2.4, -0.42, 18336.61
'BARC', 204.75, 207.2, 204.35, 49151872.0, 205.3, -0.55, -0.27, 34962.98
'BDEV', 536.6, 546.4, 530.8, 2115181.0, 532.4, 4.2, 0.79, 5361.14
'BKG', 3784.0, 3816.0, 3757.0, 194255.0, 3765.0, 19.0, 0.5, 5098.39
'BLT', 1421.0, 1432.8, 1404.6, 4463180.0, 1412.6, 8.4, 0.59, 29823.99
'BP.', 463.95, 468.75, 463.9, 21584720.0, 464.1, -0.15, -0.03, 91324.93
'BATS', 4177.0, 4222.5, 4162.5, 1608482.0, 4220.0, -43.0, -1.02, 96969.16
'BLND', 632.0, 634.6, 626.8, 969556.0, 627.6, 4.4, 0.7, 6311.47
'BT.A', 237.3, 238.9, 235.7, 6045186.0, 236.25, 1.05, 0.44, 23531.66
'BNZL', 1956.0, 1961.5, 1948.0, 394038.0, 1950.0, 6.0, 0.31, 6545.61
'BRBY', 1643.5, 1658.0, 1633.5, 804382.0, 1634.5, 9.0, 0.55, 6980.67
'CCL', 4634.0, 4653.0, 4603.0, 274176.0, 4621.0, 13.0, 0.28, 9860.68
'CNA', 141.15, 142.85, 140.5, 24271009.0, 141.4, -0.25, -0.18, 7907.62
'CCH', 2370.0, 2379.0, 2357.0, 935668.0, 2364.0, 6.0, 0.25, 8607.93
'CPG', 1519.5, 1530.5, 1519.5, 932429.0, 1524.0, -4.5, -0.3, 24096.33
'CRH', 2437.0, 2471.0, 2394.0, 1425875.0, 2399.0, 38.0, 1.58, 20050.98
'CRDA', 4449.0, 4505.0, 4437.0, 164961.0, 4456.0, -7.0, -0.16, 5854.86
'DCC', 6560.0, 6605.0, 6505.0, 103060.0, 6515.0, 45.0, 0.69, 5786.39
'DGE', 2381.0, 2392.0, 2379.5, 1436659.0, 2381.5, -0.5, -0.02, 59949.19
'DLG', 374.2, 375.3, 372.0, 2753238.0, 373.8, 0.4, 0.11, 5139.75
'EZJ', 1568.0, 1605.5, 1567.5, 826927.0, 1577.0, -9.0, -0.57, 6263.97
'EVR', 435.9, 448.6, 434.7, 1176625.0, 444.3, -8.4, -1.89, 6362.61
'EXPN', 1515.5, 1528.0, 1515.5, 486524.0, 1520.5, -5.0, -0.33, 14154.38
'FERG', 5116.0, 5152.0, 5086.0, 132089.0, 5098.0, 18.0, 0.35, 12894.84
'FRES', 1195.0, 1206.5, 1192.0, 389430.0, 1197.5, -2.5, -0.21, 8824.3
'GFS', 253.8, 256.8, 253.0, 1344413.0, 254.3, -0.5, -0.2, 3945.7
'GKN', 419.9, 427.5, 416.9, 31931407.0, 420.0, -0.1, -0.02, 7212.75
'GSK', 1300.8, 1302.2, 1289.8, 1877879.0, 1290.0, 10.8, 0.84, 63434.88
'GLEN', 360.3, 368.9, 359.5, 19300838.0, 364.5, -4.2, -1.15, 52468.83
'HLMA', 1169.0, 1175.0, 1167.0, 497212.0, 1166.0, 3.0, 0.26, 4421.28
'HMSO', 449.6, 450.9, 444.4, 2526111.0, 447.9, 1.7, 0.38, 3552.69
'HL.', 1680.0, 1695.5, 1654.0, 494511.0, 1657.0, 23.0, 1.39, 7859.46
'HSBA', 699.0, 706.1, 699.0, 10263822.0, 705.0, -6.0, -0.85, 141347.75
'IMB', 2571.5, 2599.5, 2570.5, 603340.0, 2584.0, -12.5, -0.48, 24773.09
'INF', 702.0, 704.0, 696.2, 2156333.0, 697.6, 4.4, 0.63, 5748.26
'IHG', 4466.0, 4504.0, 4441.0, 244264.0, 4454.0, 12.0, 0.27, 8462.16
'ITRK', 4844.0, 4895.0, 4830.0, 193115.0, 4873.0, -29.0, -0.6, 7864.56
'IAG', 608.2, 619.4, 607.4, 4564602.0, 615.0, -6.8, -1.11, 12620.44
'ITV', 152.25, 155.2, 151.65, 7190620.0, 153.9, -1.65, -1.07, 6195.1
'JMAT', 3043.0, 3080.0, 3027.0, 145349.0, 3030.0, 13.0, 0.43, 5864.06
'JE.', 849.0, 858.0, 843.2, 1815984.0, 849.0, 0.0, 0.0, 5765.06
'KGF', 345.8, 350.5, 345.8, 5788183.0, 347.8, -2.0, -0.58, 7537.43
'LAND', 915.8, 918.5, 911.4, 657187.0, 913.0, 2.8, 0.31, 6768.34
'LGEN', 254.5, 255.4, 252.6, 6834904.0, 253.4, 1.1, 0.43, 15090.63
'LLOY', 66.71, 67.3, 66.6, 67985596.0, 67.0, -0.29, -0.43, 47878.18
'LSE', 3889.0, 3901.0, 3837.0, 264508.0, 3837.0, 52.0, 1.36, 13389.88
'MKS', 287.1, 289.5, 287.0, 2216588.0, 286.7, 0.4, 0.14, 4658.09
